repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
openai/openai-cookbook,2653,Memory compaction,MERGED,2026-05-01T07:07:36Z,2026-05-04T23:47:02Z,2026-05-04T23:47:02Z,88.6572,5,1003,6,1855,3,1,2
openai/openai-cookbook,2650,docs(codex): update code review cookbook,MERGED,2026-04-28T17:21:48Z,2026-04-28T20:23:40Z,2026-04-28T20:23:40Z,3.0311,2,200,7,585,3,2,1
openai/openai-cookbook,2618,Add Computer Use via Agents SDK and Daytona example,MERGED,2026-04-19T18:29:25Z,2026-04-22T16:32:38Z,2026-04-22T16:32:38Z,70.0536,7,1202,0,1829,2,2,1
openai/openai-cookbook,2610,chatgpt prompt guide,MERGED,2026-04-15T06:39:27Z,2026-04-28T03:34:28Z,2026-04-28T03:34:28Z,308.9169,3,568,2,1679,4,0,6
openai/openai-cookbook,2590,Fix outdated beta.openai.com URLs in examples and articles,CLOSED,2026-04-06T08:55:47Z,2026-05-04T23:43:10Z,,686.7897,4,6,6,905,1,0,1
openai/openai-cookbook,2563,Added Bifrost gateway in related_resources.md,CLOSED,2026-03-30T09:54:26Z,2026-05-04T13:49:49Z,,843.9231,1,1,0,1831,1,0,3
openai/openai-cookbook,2558,[codex] Pin GitHub Actions workflow references,MERGED,2026-03-26T23:46:42Z,2026-04-08T05:13:41Z,2026-04-08T05:13:41Z,293.4497,2,3,3,388,2,0,1
openai/openai-cookbook,2530,Add free-web-search-ultimate cookbook: real-time web search with no A…,CLOSED,2026-03-18T07:01:30Z,2026-04-07T19:36:18Z,,492.58,3,195,1,1795,1,8,5
openai/openai-cookbook,2509,Refresh How to parse PDF docs for RAG guidance,CLOSED,2026-03-11T10:46:58Z,2026-03-11T11:50:27Z,,1.0581,1,179,170,3831,1,1,1
openai/openai-cookbook,2503,Refresh How to handle rate limits guidance,CLOSED,2026-03-10T15:56:57Z,2026-03-11T11:50:22Z,,19.8903,1,196,150,4694,1,0,1
openai/openai-cookbook,2496,Add 5.4 Vision Cookbook,MERGED,2026-03-06T23:12:55Z,2026-03-07T00:46:55Z,2026-03-07T00:46:55Z,1.5667,9,1004,0,0,3,0,2
openai/openai-cookbook,2479,Move long horizon cookbook to developers blog,MERGED,2026-03-02T20:31:12Z,2026-03-04T19:53:52Z,2026-03-04T19:53:52Z,47.3778,18,0,229,1877,2,0,1
openai/openai-cookbook,2478,Tompakeman/realtime evals/results viewer,MERGED,2026-03-02T15:55:38Z,2026-03-03T18:25:56Z,2026-03-03T18:25:56Z,26.505,23,4013,7,518,3,3,2
openai/openai-cookbook,2471,Tompakeman/realtime evals/types tooling,MERGED,2026-02-27T12:49:44Z,2026-03-02T15:55:55Z,2026-03-02T15:55:55Z,75.1031,31,7632,322,1778,3,0,2
openai/openai-cookbook,2466,docs: update Codex prompting guide to gpt-5.3-codex and refresh registry metadata,MERGED,2026-02-25T06:44:03Z,2026-02-25T21:04:30Z,2026-02-25T21:04:30Z,14.3408,2,3,2,597,2,0,1
openai/openai-cookbook,2464,Fix duplicate wording in GPT-Reatime-1.5 model description,MERGED,2026-02-25T01:36:07Z,2026-02-25T06:11:41Z,2026-02-25T06:11:41Z,4.5928,1,2,0,695,2,0,1
