repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
opencv/opencv,28923,core: safe handling of compressed file level extension (.gz[0-9]),MERGED,2026-05-04T22:45:59Z,2026-05-05T12:12:53Z,2026-05-05T12:12:53Z,13.4483,3,42,13,974,2,1,1
opencv/opencv,28922,Add FontFace to js bindings.,MERGED,2026-05-04T21:15:20Z,2026-05-05T06:06:33Z,2026-05-05T06:06:33Z,8.8536,1,1,0,760,2,0,1
opencv/opencv,28917,"core,objdetects,dnn,features2d: fix build warnings with GCC 16",MERGED,2026-05-02T01:52:06Z,2026-05-04T06:54:49Z,2026-05-04T06:54:49Z,53.0453,6,25,15,797,3,2,1
opencv/opencv,28916,core(test): Fix Universal Intrinsics emulator tests for GCC 15+,MERGED,2026-05-01T22:07:48Z,2026-05-05T08:10:32Z,2026-05-05T08:10:32Z,82.0456,1,10,10,1038,2,0,1
opencv/opencv,28914,videoio(dshow): fix crash in videoInput::start() when pVih is NULL,MERGED,2026-04-30T15:12:31Z,2026-05-05T12:55:53Z,2026-05-05T12:55:53Z,117.7228,1,7,1,2767,3,3,1
opencv/opencv,28909,Better AutoBuffer API,MERGED,2026-04-30T06:48:15Z,2026-05-05T13:31:13Z,2026-05-05T13:31:13Z,126.7161,1,33,1,808,2,1,3
opencv/opencv,28906,add gemma2 tokenizer support,MERGED,2026-04-29T14:53:46Z,2026-04-30T06:08:14Z,2026-04-30T06:08:14Z,15.2411,2,165,1,1032,2,1,1
opencv/opencv,28905,5.x merge 4.x,MERGED,2026-04-29T12:47:34Z,2026-04-30T05:37:00Z,2026-04-30T05:37:00Z,16.8239,73,1709,1103,436,11,0,2
opencv/opencv,28903,doc: modernize Doxygen comments to support for v1.15.0,MERGED,2026-04-29T06:27:08Z,2026-04-29T07:47:54Z,2026-04-29T07:47:54Z,1.3461,35,39,39,1570,2,1,1
opencv/opencv,28902,js: fix Emscripten version detection and macro usage,MERGED,2026-04-28T23:01:34Z,2026-04-29T06:25:44Z,2026-04-29T06:25:44Z,7.4028,2,16,6,960,2,0,1
opencv/opencv,28894,videoio: fix C4576 build error with older ffmpeg versions,MERGED,2026-04-28T03:43:18Z,2026-04-28T08:49:40Z,2026-04-28T08:49:40Z,5.1061,1,2,3,1544,2,0,3
opencv/opencv,28888,Add LpNormalization Layer support,MERGED,2026-04-27T10:27:09Z,2026-04-27T15:34:22Z,2026-04-27T15:34:22Z,5.1203,5,24,4,717,3,2,1
opencv/opencv,28880,highgui(qt): preserve UTF-8 window names in fallback paths,MERGED,2026-04-25T09:33:55Z,2026-04-26T09:36:26Z,2026-04-26T09:36:26Z,24.0419,1,10,10,344,4,2,2
opencv/opencv,28863,add CV_64S type support to modules/dnn/src/layers/gatherND.cpp,MERGED,2026-04-23T01:50:56Z,2026-04-25T08:34:00Z,2026-04-25T08:34:00Z,54.7178,1,1,0,948,2,2,1
opencv/opencv,28859,Added Attention fusion and thin gemm support,MERGED,2026-04-22T13:13:52Z,2026-04-29T08:43:34Z,2026-04-29T08:43:34Z,163.495,10,991,24,1093,2,4,3
