repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
oven-sh/bun,30224,restructure src/ into subject-area directories,MERGED,2026-05-04T03:54:33Z,2026-05-04T10:20:17Z,2026-05-04T10:20:17Z,6.4289,2367,14305,13135,2582,2,2,13
oven-sh/bun,30223,Fix use-after-free resolving external URL specifiers with non-ASCII characters,MERGED,2026-05-04T03:54:28Z,2026-05-04T05:57:09Z,2026-05-04T05:57:08Z,2.0444,5,52,6,1718,2,3,6
oven-sh/bun,30219,Shrink Windows binary: lazy-heap threadlocal PathBuffers + /OPT:SAFEICF,MERGED,2026-05-04T02:43:31Z,2026-05-04T05:45:25Z,2026-05-04T05:45:25Z,3.0317,21,481,121,4368,2,3,19
oven-sh/bun,30217,test: fix test-http-should-emit-close-when-connection-is-aborted timeout on Windows,CLOSED,2026-05-04T02:26:13Z,2026-05-04T07:02:37Z,,4.6067,1,14,6,2105,1,5,2
oven-sh/bun,30216,"test --isolate: retarget NapiEnv at new global; --parallel: abort on worker panic, never retry",MERGED,2026-05-04T01:19:10Z,2026-05-04T08:02:53Z,2026-05-04T08:02:53Z,6.7286,11,428,52,4493,2,2,19
oven-sh/bun,30214,fix(test --isolate): repoint NapiEnv at new global during swap,CLOSED,2026-05-04T01:00:53Z,2026-05-04T08:03:46Z,,7.0481,4,148,0,3070,2,3,10
oven-sh/bun,30211,image: preserve ICC profile through WebP decode/encode,MERGED,2026-05-04T00:50:13Z,2026-05-04T05:58:12Z,2026-05-04T05:58:11Z,5.1328,6,256,24,2584,2,3,4
oven-sh/bun,30208,"bun -p: return module completion value, not first yielded await",MERGED,2026-05-03T23:29:30Z,2026-05-04T01:36:12Z,2026-05-04T01:36:12Z,2.1117,2,40,1,1676,2,4,4
oven-sh/bun,30201,Preserve ICC colour profile through Bun.Image JPEG/PNG encode,MERGED,2026-05-03T21:34:30Z,2026-05-03T23:40:02Z,2026-05-03T23:40:02Z,2.0922,6,411,36,2759,2,2,19
oven-sh/bun,30196,Fix HTMLRewriter use-after-free when handler rejects during end(),MERGED,2026-05-03T19:22:57Z,2026-05-03T23:41:35Z,2026-05-03T23:41:35Z,4.3106,2,39,3,2112,2,5,4
oven-sh/bun,30188,resolver: allow `@`-prefixed subpaths under wildcard `exports`,MERGED,2026-05-03T13:18:41Z,2026-05-04T08:17:01Z,2026-05-04T08:17:01Z,18.9722,2,121,11,2711,2,3,5
oven-sh/bun,30185,worker: fix cross-thread HandleSet race in getHeapSnapshot,MERGED,2026-05-03T12:13:50Z,2026-05-03T23:43:08Z,2026-05-03T23:43:08Z,11.4883,6,150,15,4101,2,3,15
oven-sh/bun,30181,bake: fix entry_points UAF + inotify merged names; deflake test harness,MERGED,2026-05-03T07:08:42Z,2026-05-03T23:26:42Z,2026-05-03T23:26:42Z,16.3,5,322,128,3987,2,6,17
oven-sh/bun,30179,Fix crash in process.setgroups/hrtime with accessor-indexed arrays,MERGED,2026-05-03T04:06:08Z,2026-05-04T08:18:05Z,2026-05-04T08:18:05Z,28.1992,2,60,3,1437,2,3,6
oven-sh/bun,30177,fix(ipc): run SendQueue.deinit() from IPCInstance.deinit on getIPCInstance failure,MERGED,2026-05-03T01:11:44Z,2026-05-03T23:47:03Z,2026-05-03T23:47:03Z,22.5886,2,43,1,1368,2,4,2
oven-sh/bun,30176,socket: null `handlers` pointer after client-mode Handlers are freed,MERGED,2026-05-03T01:10:45Z,2026-05-04T01:15:27Z,2026-05-04T01:15:27Z,24.0783,3,185,23,2364,2,5,4
