repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
papers-we-love/papers-we-love,840,fix: update unreachable link in api_design/README.md,MERGED,2026-02-22T07:49:15Z,2026-02-22T13:38:07Z,2026-02-22T13:38:07Z,5.8144,1,2,2,332,2,0,1
papers-we-love/papers-we-love,809,[languages-theory] add liquid types,MERGED,2024-11-08T15:17:08Z,2024-11-08T18:55:54Z,2024-11-08T18:55:54Z,3.6461,2,2,0,460,3,0,2
papers-we-love/papers-we-love,795,"Update link to ""The Dynamic Window Approach to Collision Avoidance""",MERGED,2024-06-29T13:02:58Z,2024-06-29T16:31:38Z,2024-06-29T16:31:38Z,3.4778,1,1,1,14,2,1,1
papers-we-love/papers-we-love,793,Fix QuickCheck Testing for Fun and Profit link to archive.org,MERGED,2024-05-28T03:48:13Z,2024-05-28T09:12:29Z,2024-05-28T09:12:29Z,5.4044,1,1,1,82,2,1,1
papers-we-love/papers-we-love,791,Add applied-ml GitHub repo for example papers,MERGED,2024-05-19T18:07:22Z,2024-05-20T09:24:41Z,2024-05-20T09:24:41Z,15.2886,1,1,0,57,2,0,1
papers-we-love/papers-we-love,790,Update README.md,MERGED,2024-04-22T10:56:01Z,2024-09-11T19:12:57Z,2024-09-11T19:12:57Z,3416.2822,1,3,1,187,4,3,4
papers-we-love/papers-we-love,775,Create Blockchain,CLOSED,2023-10-05T16:20:59Z,2025-03-23T17:38:58Z,,12841.2997,1,4,0,506,14,10,5
papers-we-love/papers-we-love,772,add zanzibar paper for authorization,MERGED,2023-09-04T05:11:27Z,2023-09-04T21:57:07Z,2023-09-04T21:57:07Z,16.7611,1,1,0,364,2,0,1
papers-we-love/papers-we-love,766,Added photogrammetry topic and two related paper + Color Constancy research article,MERGED,2023-07-22T01:12:37Z,2023-07-22T10:39:10Z,2023-07-22T10:39:10Z,9.4425,1,9,0,552,3,0,1
papers-we-love/papers-we-love,764,Added Matting and three paper for this topic,MERGED,2023-07-21T00:35:22Z,2023-07-21T10:24:21Z,2023-07-21T10:24:21Z,9.8164,1,8,0,538,2,0,1
papers-we-love/papers-we-love,737,Improve Actor formalism paper source,MERGED,2023-04-28T10:10:41Z,2023-04-28T12:39:57Z,2023-04-28T12:39:57Z,2.4878,2,2,0,215,2,0,1
papers-we-love/papers-we-love,724,Fixed broken link.,MERGED,2023-03-04T16:24:26Z,2023-03-04T18:46:57Z,2023-03-04T18:46:57Z,2.3753,1,1,1,226,2,0,1
papers-we-love/papers-we-love,718,Fix some broken links.,MERGED,2023-02-06T22:44:00Z,2023-02-07T00:46:27Z,2023-02-07T00:46:27Z,2.0408,7,7,7,438,2,1,1
papers-we-love/papers-we-love,715,Fix broken link of End-To-End Arguments in System Design,MERGED,2023-01-29T08:24:37Z,2023-01-29T13:00:45Z,2023-01-29T13:00:45Z,4.6022,1,1,1,207,2,0,1
papers-we-love/papers-we-love,709,Update broken link to IronFleet paper,MERGED,2023-01-14T12:35:58Z,2023-01-15T13:33:20Z,2023-01-15T13:33:20Z,24.9561,1,1,1,505,2,0,1
papers-we-love/papers-we-love,705,discord link and some readme updates,MERGED,2023-01-09T21:11:05Z,2023-01-10T14:53:15Z,2023-01-10T14:53:15Z,17.7028,2,8,45,0,2,0,1
papers-we-love/papers-we-love,681,"Add link for Portland, OR chapter of Papers We Love",MERGED,2022-07-09T15:24:51Z,2022-07-09T21:26:52Z,2022-07-09T21:26:52Z,6.0336,1,1,0,199,2,1,1
papers-we-love/papers-we-love,646,Directly link to organizers repo,MERGED,2022-01-06T22:10:11Z,2022-01-25T20:12:13Z,2022-01-25T20:12:13Z,454.0339,1,1,1,248,2,0,1
papers-we-love/papers-we-love,641,Fixed broken links,MERGED,2021-12-31T15:28:04Z,2021-12-31T16:52:14Z,2021-12-31T16:52:14Z,1.4028,13,30,32,145,2,1,1
papers-we-love/papers-we-love,626,Fix no longer active link to John Backus’ Turning Award paper,MERGED,2021-09-22T05:16:04Z,2021-09-22T16:05:26Z,2021-09-22T16:05:26Z,10.8228,1,1,1,165,2,0,1
papers-we-love/papers-we-love,623,Update link for f4 paper,MERGED,2021-09-04T01:23:55Z,2021-09-04T13:27:23Z,2021-09-04T13:27:23Z,12.0578,1,1,1,33,2,0,1
papers-we-love/papers-we-love,617,Add TDD with mutation testing (Roman & Mnich 2020),MERGED,2020-12-01T13:32:13Z,2020-12-03T05:25:17Z,2020-12-03T05:25:17Z,39.8844,1,3,0,404,3,5,2
