repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
puppeteer/puppeteer,14939,feat: support checkboxes and radios in locator.fill,MERGED,2026-05-04T16:39:30Z,2026-05-05T09:43:31Z,2026-05-05T09:43:31Z,17.0669,4,230,31,158,2,0,3
puppeteer/puppeteer,14937,chore(deps): bump github/codeql-action from 4.35.2 to 4.35.3 in the all group,MERGED,2026-05-03T02:05:45Z,2026-05-04T07:17:55Z,2026-05-04T07:17:55Z,29.2028,1,1,1,13052,1,0,1
puppeteer/puppeteer,14936,chore(deps): bump the all group in /website with 11 updates,MERGED,2026-05-03T01:05:13Z,2026-05-04T07:18:34Z,2026-05-04T07:18:34Z,30.2225,2,778,740,34015,1,0,1
puppeteer/puppeteer,14935,chore(deps-dev): bump the dev-dependencies group with 5 updates,MERGED,2026-05-03T00:08:24Z,2026-05-04T07:19:00Z,2026-05-04T07:19:00Z,31.1767,4,198,198,28875,1,0,1
puppeteer/puppeteer,14931,fix: do not set global offline flag for allowlist,MERGED,2026-04-30T09:46:50Z,2026-05-04T11:59:37Z,2026-05-04T11:59:37Z,98.2131,3,169,3,0,3,1,9
puppeteer/puppeteer,14930,docs: Update puppeteer doc to include example of extensions usages,MERGED,2026-04-30T08:29:24Z,2026-04-30T09:39:33Z,2026-04-30T09:39:33Z,1.1692,1,37,0,95,2,0,1
puppeteer/puppeteer,14929,fix: roll to Chrome 148.0.7778.97,MERGED,2026-04-30T06:54:42Z,2026-04-30T09:19:20Z,2026-04-30T09:19:20Z,2.4106,3,4,4,117,2,0,1
puppeteer/puppeteer,14926,chore: add iframe blocking tests,MERGED,2026-04-29T13:31:25Z,2026-05-05T09:48:42Z,2026-05-05T09:48:42Z,140.2881,4,104,1,58,2,0,6
puppeteer/puppeteer,14923,fix: roll to Firefox 150.0.1,MERGED,2026-04-29T06:52:18Z,2026-04-30T19:09:16Z,2026-04-30T19:09:16Z,36.2828,2,2,2,117,3,0,1
puppeteer/puppeteer,14922,fix: do not open DevTools if it is already open,MERGED,2026-04-29T06:22:58Z,2026-04-29T12:15:31Z,2026-04-29T12:15:31Z,5.8758,5,18,8,62,2,0,3
