repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
rasbt/LLMs-from-scratch,981,fix: `qwen3.5-plus-kv-cache.ipynb` to use KVCache,MERGED,2026-03-17T14:17:57Z,2026-03-21T00:47:52Z,2026-03-21T00:47:52Z,82.4986,1,13,7,384,3,2,1
rasbt/LLMs-from-scratch,949,Optional weight tying for Qwen3 and Llama3.2 pretraining,MERGED,2026-01-14T08:54:20Z,2026-01-14T15:07:04Z,2026-01-14T15:07:04Z,6.2122,7,17,9,110,2,1,1
rasbt/LLMs-from-scratch,945,Fix encoding of multiple preceding spaces in BPE tokenizer.,MERGED,2026-01-10T02:18:46Z,2026-01-10T16:27:23Z,2026-01-10T16:27:23Z,14.1436,2,13,2,60,2,1,1
rasbt/LLMs-from-scratch,942,Correct batch_idx in appendix A logging,MERGED,2026-01-05T14:45:51Z,2026-01-08T01:14:18Z,2026-01-08T01:14:18Z,58.4742,2,29,29,0,2,2,1
rasbt/LLMs-from-scratch,935,Correct 'pix' to 'pixi' in README.md,MERGED,2026-01-02T15:32:44Z,2026-01-02T21:17:56Z,2026-01-02T21:17:56Z,5.7533,1,1,1,0,2,1,1
rasbt/LLMs-from-scratch,925,Optimized KV Cache (sliding window) bug fix,MERGED,2025-12-15T08:13:20Z,2025-12-16T00:47:02Z,2025-12-16T00:47:01Z,16.5614,2,117,3,555,2,1,1
rasbt/LLMs-from-scratch,918,Added comments in class SimpleTokenizerV1,CLOSED,2025-11-27T05:41:51Z,2025-12-19T18:25:00Z,,540.7192,5,33540,132,105,2,4,1
rasbt/LLMs-from-scratch,906,GatedDeltaNet code: Initialize A as the log of a uniform distribution,MERGED,2025-11-08T19:33:15Z,2025-11-09T20:22:52Z,2025-11-09T20:22:52Z,24.8269,1,2,1,285,2,0,1
rasbt/LLMs-from-scratch,901,Gated DeltaNet write-up,MERGED,2025-11-03T00:38:03Z,2025-11-03T03:03:42Z,2025-11-03T03:03:42Z,2.4275,5,460,0,0,2,0,1
rasbt/LLMs-from-scratch,897,Add bonus dependencies to pyproject,MERGED,2025-10-29T00:08:41Z,2025-10-29T01:36:21Z,2025-10-29T01:36:21Z,1.4611,3,25,1,29,2,0,7
rasbt/LLMs-from-scratch,893,Fix MHAEinsum weight dimension bug when d_in != d_out (#857),MERGED,2025-10-22T14:29:09Z,2025-11-01T02:45:32Z,2025-11-01T02:45:31Z,228.2728,4,80,14,419,2,3,1
rasbt/LLMs-from-scratch,890,docs(MoE): minor links fix,MERGED,2025-10-20T09:11:57Z,2025-10-21T00:29:06Z,2025-10-21T00:29:06Z,15.2858,1,2,2,94,2,0,1
rasbt/LLMs-from-scratch,858,some typo fixes,MERGED,2025-09-30T12:01:04Z,2025-09-30T16:18:03Z,2025-09-30T16:18:03Z,4.2831,4,5,5,207,2,1,1
rasbt/LLMs-from-scratch,828,`Qwen3Tokenizer` fix for Qwen3 Base models and generation mismatch with HF,MERGED,2025-09-15T14:57:51Z,2025-09-17T13:14:11Z,2025-09-17T13:14:11Z,46.2722,7,125,15,920,4,19,2
