repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
redis/redis,15168,Redis 8.2.6,MERGED,2026-05-05T12:19:40Z,2026-05-05T13:22:53Z,2026-05-05T13:22:53Z,1.0536,26,747,25,4045,7,0,2
redis/redis,15166,Enable LTO for RediSearch module when Redis is build with modules,MERGED,2026-05-05T10:12:53Z,2026-05-05T18:17:38Z,2026-05-05T18:17:38Z,8.0792,1,4,0,733,3,0,2
redis/redis,15147,Fix CI Codecov v6 coverage upload configuration,MERGED,2026-04-30T06:19:14Z,2026-04-30T13:38:26Z,2026-04-30T13:38:26Z,7.32,1,11,3,2154,2,1,7
redis/redis,15142,fix: remove unsafe exec() in redis.conf,CLOSED,2026-04-29T10:05:59Z,2026-04-29T11:28:12Z,,1.3703,0,0,0,1881,3,1,2
redis/redis,15141,docs: suggest documentation improvements for better user experience,CLOSED,2026-04-29T04:22:21Z,2026-04-29T11:17:14Z,,6.9147,1,23,0,463,4,2,1
redis/redis,15140,docs: suggest documentation improvements for better user experience,CLOSED,2026-04-29T04:19:09Z,2026-04-29T11:17:27Z,,6.9717,1,23,0,463,3,1,1
redis/redis,15139,docs: suggest documentation improvements for better user experience,CLOSED,2026-04-29T04:14:31Z,2026-04-29T11:17:24Z,,7.0481,1,23,0,463,3,1,1
redis/redis,15138,docs: suggest documentation improvements for better user experience,CLOSED,2026-04-29T04:11:03Z,2026-04-29T11:17:22Z,,7.1053,1,23,0,463,3,2,1
redis/redis,15132,Diskless replication: Add on-demand per replica buffer for slow replicas,CLOSED,2026-04-28T16:58:44Z,2026-04-29T17:53:41Z,,24.9158,3,37,16,1758,2,5,1
redis/redis,15129,test: stabilize HOTKEYS MULTI/EXEC test by increasing iteration count,MERGED,2026-04-28T13:14:50Z,2026-04-30T13:15:12Z,2026-04-30T13:15:12Z,48.0061,1,1,1,2380,3,1,2
redis/redis,15128,Redis 8.8 M03,MERGED,2026-04-28T11:58:15Z,2026-04-28T13:44:48Z,2026-04-28T13:44:48Z,1.7758,43,1728,273,1766,14,1,2
redis/redis,15118,perf+security: drop SCAN vector pre-allocation; rely on grow-by-doubling,MERGED,2026-04-27T13:51:32Z,2026-04-27T15:13:15Z,2026-04-27T15:13:15Z,1.3619,1,0,4,3425,3,2,2
redis/redis,15114,t_string: rewrite SET GET propagation in place,MERGED,2026-04-26T13:01:23Z,2026-04-28T07:05:59Z,2026-04-28T07:05:59Z,42.0767,3,20,11,2945,3,3,6
redis/redis,15103,Replace recursive rax tree freeing with iterative traversal,MERGED,2026-04-24T06:58:45Z,2026-04-27T05:47:44Z,2026-04-27T05:47:44Z,70.8164,1,36,36,2206,2,2,6
redis/redis,15094,Fix sharded pubsub unsubscribe lookup using cached command slot,MERGED,2026-04-22T16:56:06Z,2026-04-29T14:04:06Z,2026-04-29T14:04:06Z,165.1333,2,31,1,3355,2,9,16
redis/redis,15093,"gcraCommand, gcraSetValueCommand use ceil operation for division (conversion us to ms)",CLOSED,2026-04-22T15:10:43Z,2026-04-29T03:34:59Z,,156.4044,2,27,2,2182,2,3,2
redis/redis,15089,Update SECURITY.md vulnerability reporting instructions,MERGED,2026-04-21T13:50:06Z,2026-04-27T16:03:32Z,2026-04-27T16:03:32Z,146.2239,1,14,4,844,3,2,8
redis/redis,15088,RED-183392 post release tarball testing,CLOSED,2026-04-21T09:07:59Z,2026-04-27T07:42:16Z,,142.5714,1,309,34,1144,2,2,3
redis/redis,15081,Reject corrupt stream RDB with shared NACK across consumers,MERGED,2026-04-20T10:33:38Z,2026-04-23T12:46:49Z,2026-04-23T12:46:49Z,74.2197,2,24,0,2349,2,1,5
redis/redis,15075,Update RediSearch to version 99.88.96,CLOSED,2026-04-19T12:59:46Z,2026-04-19T18:09:50Z,,5.1678,1,1,1,1145,2,2,1
redis/redis,15073,tracking: fix self-overlap returning non-zero loop index,MERGED,2026-04-19T02:23:58Z,2026-04-28T01:24:48Z,2026-04-28T01:24:48Z,215.0139,2,13,1,1690,3,3,4
redis/redis,15072,Update RediSearch to 8.8 RC1 (v8.7.90),MERGED,2026-04-18T20:55:15Z,2026-04-19T07:49:34Z,2026-04-19T07:49:34Z,10.9053,1,1,1,733,2,1,2
redis/redis,15067,redis-cli: free COMMAND reply on malformed legacy help entry,CLOSED,2026-04-17T15:46:43Z,2026-04-29T13:16:45Z,,285.5006,1,2,1,1833,3,4,4
redis/redis,15065,perf: replace list with vec in scanGenericCommand key collection,MERGED,2026-04-17T09:22:30Z,2026-04-27T11:16:37Z,2026-04-27T11:16:37Z,241.9019,3,70,31,6125,4,1,29
redis/redis,15061,perf: widen fast_float_strtod fast path to 17-19 digit mantissas,MERGED,2026-04-16T21:02:11Z,2026-04-20T12:45:50Z,2026-04-20T12:45:50Z,87.7275,2,120,12,6068,3,3,10
redis/redis,15060,Fix CI failures in old-chain jobs caused by EOL Ubuntu/package sources,CLOSED,2026-04-16T17:31:33Z,2026-04-18T09:28:06Z,,39.9425,3,53,43,2826,2,3,6
redis/redis,15059,Fix use-after-free in RM_RegisterClusterMessageReceiver(),MERGED,2026-04-16T16:07:23Z,2026-04-23T08:44:36Z,2026-04-23T08:44:36Z,160.6203,1,1,1,1314,3,10,5
redis/redis,15056,Log node address when ASM starts,MERGED,2026-04-16T07:02:30Z,2026-04-16T09:13:01Z,2026-04-16T09:13:01Z,2.1753,1,17,3,912,2,1,3
redis/redis,15055,Fix command-docs and corrupt-dump-fuzzer of OBJ_GCRA type,MERGED,2026-04-16T03:38:35Z,2026-04-17T07:30:44Z,2026-04-17T07:30:44Z,27.8692,5,23,2,3811,3,13,6
redis/redis,15053,perf: stack-buffer stream ID formatting in reply path,CLOSED,2026-04-15T22:40:32Z,2026-04-22T14:31:15Z,,159.8453,1,28,3,2880,3,3,8
redis/redis,15052,Update to SECURITY.md,CLOSED,2026-04-15T16:07:02Z,2026-04-20T16:49:10Z,,120.7022,0,0,0,696,2,4,2
redis/redis,15047,Increase threshold for HPEXPIRETIME persists after RDB reload test,MERGED,2026-04-15T11:57:47Z,2026-04-17T08:36:02Z,2026-04-17T08:36:02Z,44.6375,1,1,1,3182,3,4,5
redis/redis,15042,Pass context to RM_GetUserUsername() to support auto memory management,MERGED,2026-04-14T15:26:41Z,2026-04-28T08:45:31Z,2026-04-28T08:45:31Z,329.3139,3,5,5,2168,5,2,5
redis/redis,15039,vector: introduce internal pointer vector DS,MERGED,2026-04-13T15:08:23Z,2026-04-14T15:45:48Z,2026-04-14T15:45:48Z,24.6236,4,268,1,1890,2,1,12
redis/redis,15037,Fix wrong argv index in xinfoReplyWithStreamInfo for slot alloc size tracking,MERGED,2026-04-13T12:23:49Z,2026-04-14T11:26:42Z,2026-04-14T11:26:42Z,23.0481,2,4,4,1439,2,2,2
redis/redis,15036,DataTypes update 8.8 RC1,MERGED,2026-04-13T11:46:25Z,2026-04-16T10:43:11Z,2026-04-16T10:43:11Z,70.9461,3,3,3,650,3,2,1
redis/redis,15035,RED-183357 tarball upload automation,CLOSED,2026-04-13T06:52:35Z,2026-04-27T07:41:31Z,,336.8156,2,59,21,1017,3,2,10
redis/redis,15034,Fix decrRefCount on NULL robj on corrupt KEY_META payload,MERGED,2026-04-13T06:35:06Z,2026-04-16T13:50:50Z,2026-04-16T13:50:50Z,79.2622,5,35,9,2260,2,3,5
redis/redis,15021,Fix HEXPIRE numfields overflow,MERGED,2026-04-09T11:16:10Z,2026-04-13T06:46:46Z,2026-04-13T06:46:46Z,91.51,2,8,2,270,2,1,4
