repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
rustdesk/rustdesk,14942,Update submodule URL for hbb_common,CLOSED,2026-05-01T06:55:51Z,2026-05-01T16:05:04Z,,9.1536,1,1,1,235,2,1,1
rustdesk/rustdesk,14941,hbb_common,CLOSED,2026-05-01T06:51:43Z,2026-05-01T15:38:52Z,,8.7858,1,1,1,225,2,5,1
rustdesk/rustdesk,14934,Add act compatibility for local CI testing,CLOSED,2026-04-30T12:06:44Z,2026-04-30T13:29:32Z,,1.38,8,20022,108,588,1,1,4
rustdesk/rustdesk,14911,"refact(AGENTS.md): code rules, tokio",MERGED,2026-04-26T10:43:39Z,2026-04-26T13:25:32Z,2026-04-26T13:25:32Z,2.6981,1,39,83,708,2,1,3
rustdesk/rustdesk,14910,Fix: replace unwrap() with proper error handling in CLI password prompt,MERGED,2026-04-26T09:47:33Z,2026-04-26T13:28:05Z,2026-04-26T13:28:05Z,3.6756,1,7,1,720,2,1,1
rustdesk/rustdesk,14890,feat(i18n): Complete and fix french translations,MERGED,2026-04-24T09:30:57Z,2026-04-24T10:38:35Z,2026-04-24T10:38:34Z,1.1269,5,219,5,842,2,1,1
rustdesk/rustdesk,14880,"fix(sicter): control side, privacy mode",MERGED,2026-04-23T06:36:47Z,2026-04-24T06:35:59Z,2026-04-24T06:35:59Z,23.9867,2,25,2,407,3,1,3
rustdesk/rustdesk,14875,"feat: option, enable-privacy-mode & enable-perm-change-in-accept-window",MERGED,2026-04-23T01:56:35Z,2026-05-01T16:44:23Z,2026-05-01T16:44:22Z,206.7964,70,437,57,3357,3,12,15
rustdesk/rustdesk,14857,Propose fix some typos,MERGED,2026-04-20T22:47:59Z,2026-04-21T08:27:39Z,2026-04-21T08:27:39Z,9.6611,5,50,50,654,2,1,1
rustdesk/rustdesk,14855,Preserve leading and trailing spaces in OS passwords,CLOSED,2026-04-20T14:10:46Z,2026-04-20T15:28:19Z,,1.2925,3,7,7,1529,2,2,1
rustdesk/rustdesk,14848,fix(linux): enable mouse side buttons in remote sessions,MERGED,2026-04-19T12:05:46Z,2026-04-25T04:46:06Z,2026-04-25T04:46:06Z,136.6722,4,227,9,2422,4,8,13
rustdesk/rustdesk,14842,Update Balarusian strings,MERGED,2026-04-18T21:41:53Z,2026-04-23T15:52:44Z,2026-04-23T15:52:44Z,114.1808,1,371,371,866,3,1,11
rustdesk/rustdesk,14838,Update Japanese translate,MERGED,2026-04-18T08:27:58Z,2026-04-23T15:52:21Z,2026-04-23T15:52:21Z,127.4064,1,17,17,501,2,1,1
rustdesk/rustdesk,14837,Complete and correct Romanian (ro) translations,MERGED,2026-04-17T19:29:04Z,2026-04-18T02:55:18Z,2026-04-18T02:55:18Z,7.4372,1,252,252,1500,2,1,1
rustdesk/rustdesk,14836,fix(client): serialize X11 keyboard grab and debounce focus feedback,MERGED,2026-04-17T13:55:03Z,2026-04-26T14:46:42Z,2026-04-26T14:46:42Z,216.8608,3,229,21,3383,5,26,23
rustdesk/rustdesk,14819,Clean up README by removing invisible comment,CLOSED,2026-04-16T12:33:01Z,2026-04-16T13:54:34Z,,1.3592,1,1,0,571,2,1,1
rustdesk/rustdesk,14813,flutter: improve address book pull error handling,MERGED,2026-04-16T08:09:19Z,2026-04-18T03:19:33Z,2026-04-18T03:19:33Z,43.1706,3,74,23,1179,3,1,7
rustdesk/rustdesk,14776,FP,CLOSED,2026-04-13T21:28:43Z,2026-04-14T01:57:16Z,,4.4758,2,275,0,555,2,1,1
rustdesk/rustdesk,14754,Add Malayalam language support with translations,MERGED,2026-04-13T07:36:05Z,2026-04-22T10:06:37Z,2026-04-22T10:06:37Z,218.5089,1,746,0,312,3,1,2
rustdesk/rustdesk,14753,Add Malayalam language support,MERGED,2026-04-13T07:35:07Z,2026-04-22T10:06:10Z,2026-04-22T10:06:10Z,218.5175,1,3,0,445,2,1,2
rustdesk/rustdesk,14752,Add Gujarati language support with translations,MERGED,2026-04-13T07:29:54Z,2026-04-14T06:21:11Z,2026-04-14T06:21:11Z,22.8547,1,746,0,379,2,1,1
rustdesk/rustdesk,14746,Add Hindi language support with translations,MERGED,2026-04-12T18:17:49Z,2026-04-22T10:04:38Z,2026-04-22T10:04:37Z,231.78,1,746,0,327,2,2,3
