repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
sherlock-project/sherlock,2921,Fix akniga false negatives,MERGED,2026-04-26T14:01:48Z,2026-05-05T03:28:14Z,2026-05-05T03:28:14Z,205.4406,1,3,1,584,3,2,1
sherlock-project/sherlock,2920,Fix LushStories false positives,CLOSED,2026-04-26T13:57:07Z,2026-05-05T03:25:05Z,,205.4661,1,2,1,575,3,2,1
sherlock-project/sherlock,2919,Fix Cracked Forum false positives,MERGED,2026-04-26T13:45:59Z,2026-05-05T03:28:52Z,2026-05-05T03:28:52Z,205.7147,1,3,4,475,3,2,1
sherlock-project/sherlock,2895,Update version number and enhance --help output in README,CLOSED,2026-04-10T13:35:17Z,2026-04-20T06:03:18Z,,232.4669,1,10,4,149,3,0,1
sherlock-project/sherlock,2828,fix: handle result file write errors gracefully with clear user message,CLOSED,2026-03-19T21:23:30Z,2026-03-20T02:10:15Z,,4.7792,1,110,81,248,2,1,1
sherlock-project/sherlock,2822,Fix UnicodeDecodeError crash when handling redirects with non-UTF-8 encoding,CLOSED,2026-03-07T05:40:57Z,2026-03-10T15:35:01Z,,81.9011,1,3,0,373,3,0,3
sherlock-project/sherlock,2812,Test on Python 3.14 and free-threaded Python 3.14t,MERGED,2026-02-20T11:14:55Z,2026-03-09T00:34:47Z,2026-03-09T00:34:47Z,397.3311,1,9,7,0,4,0,2
sherlock-project/sherlock,2784,Fix Issue #2782 - GeeksForGeeks False Positives,CLOSED,2026-01-06T06:06:31Z,2026-01-07T22:18:50Z,,40.2053,2,11,6,818,2,6,1
sherlock-project/sherlock,2737,Fix Minecraft False Positives for Long Usernames,MERGED,2025-10-29T02:12:13Z,2025-10-29T03:47:32Z,2025-10-29T03:47:32Z,1.5886,1,1,0,1866,3,1,1
sherlock-project/sherlock,2733,Add Nothing Community data to data.json,MERGED,2025-10-27T05:51:36Z,2025-10-29T23:34:10Z,2025-10-29T23:34:10Z,65.7094,1,6,0,0,3,1,1
sherlock-project/sherlock,2729,Remove LinkedIn from site list due to HTTP 999 blocking,CLOSED,2025-10-26T13:43:42Z,2026-03-20T01:19:43Z,,3467.6003,1,25,8,204,3,1,2
sherlock-project/sherlock,2716,Fix Minor Capitalization Issue in README.md,MERGED,2025-10-23T03:21:12Z,2025-10-23T12:08:30Z,2025-10-23T12:08:29Z,8.7881,1,1,1,114,2,0,1
sherlock-project/sherlock,2700,Reorder Terraria Forums to correct alphabetical position,MERGED,2025-10-19T20:58:10Z,2025-10-23T11:53:50Z,2025-10-23T11:53:50Z,86.9278,1,7,7,268,2,0,1
sherlock-project/sherlock,2689,Fix LinkedIn detection - resolve HTTP 999 error,CLOSED,2025-10-17T14:55:57Z,2026-03-20T01:43:58Z,,3682.8003,1,3,2,1042,4,5,1
sherlock-project/sherlock,2687,Fix code block formatting in README.md,CLOSED,2025-10-17T07:36:46Z,2025-10-23T11:23:19Z,,147.7758,1,5,4,45,2,0,1
sherlock-project/sherlock,2672,Feat: Add pepper stores worldwide websites,MERGED,2025-10-13T13:54:16Z,2025-10-13T16:57:36Z,2025-10-13T16:57:36Z,3.0556,1,64,1,203,2,5,1
