repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
spring-projects/spring-boot,50281,Add links for Java CAS Client Spring Boot Starter,MERGED,2026-05-03T02:24:54Z,2026-05-03T15:05:36Z,2026-05-03T15:05:36Z,12.6783,1,3,0,139,4,0,1
spring-projects/spring-boot,50271,DataSourceBuilder cannot derive a DataSource from a lazy connection proxy,MERGED,2026-05-01T08:47:05Z,2026-05-04T09:43:28Z,2026-05-04T09:43:29Z,72.94,5,109,17,2055,5,1,2
spring-projects/spring-boot,50253,50252: Forwarded Headers not applied in WAR-Deployment,CLOSED,2026-04-29T23:05:58Z,2026-04-30T00:40:49Z,,1.5808,20,844,356,1286,3,1,1
spring-projects/spring-boot,50235,Meter registries are not removed from the global registry when the context is closed,CLOSED,2026-04-28T13:40:00Z,2026-05-04T06:22:29Z,,136.7081,2,38,3,137,4,2,5
spring-projects/spring-boot,50223,Spring Batch support for MongoDB modules are not included in dependency management,MERGED,2026-04-25T20:21:10Z,2026-04-26T15:59:31Z,2026-04-26T15:59:31Z,19.6392,1,3,0,55,4,0,1
spring-projects/spring-boot,50143,Create dedicated DataSourceTransactionManager for JdbcDefaultBatchConfiguration if @BatchDataSource is present but @BatchTransactionManager is not,CLOSED,2026-04-21T09:14:11Z,2026-04-29T16:53:00Z,,199.6469,2,18,4,124,6,6,1
spring-projects/spring-boot,50010,Incorrect default value for management.httpexchanges.recording.include in configuration metadata,MERGED,2026-04-10T06:43:55Z,2026-04-10T13:31:46Z,2026-04-10T13:31:46Z,6.7975,1,2,2,425,3,0,2
spring-projects/spring-boot,49839,Document the need for Liquibase and Flyway starters,MERGED,2026-03-30T11:59:25Z,2026-04-03T07:18:32Z,2026-04-03T07:18:32Z,91.3186,1,4,4,284,4,2,4
spring-projects/spring-boot,49838,fix: don't delegate client alias choosing for ssl bundles,CLOSED,2026-03-29T18:36:05Z,2026-04-07T15:31:23Z,,212.9217,8,365,32,1786,3,11,3
spring-projects/spring-boot,49721,Add fallback support for '/opt/homebrew/bin' on macOS,CLOSED,2026-03-24T00:49:41Z,2026-04-03T14:31:46Z,,253.7014,4,68,25,1766,5,4,4
