repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
supabase/supabase,45600,chore: migrate `Input` usages to Shadcn component in database screens/components,MERGED,2026-05-05T15:45:58Z,2026-05-05T17:24:59Z,2026-05-05T17:24:59Z,1.6503,4,67,44,1797,2,5,3
supabase/supabase,45596,chore: migrate `Input` usages to Shadcn component in settings,MERGED,2026-05-05T14:47:42Z,2026-05-05T16:24:22Z,2026-05-05T16:24:22Z,1.6111,4,153,98,1655,2,5,4
supabase/supabase,45591,chore: migrate `Input` usages to Shadcn component in integrations screens/components,MERGED,2026-05-05T14:06:56Z,2026-05-05T15:57:00Z,2026-05-05T15:57:00Z,1.8344,4,58,34,1710,2,4,1
supabase/supabase,45590,chore: migrate `Input` usages to Shadcn component in auth and policies screens/components,MERGED,2026-05-05T13:55:01Z,2026-05-05T15:56:42Z,2026-05-05T15:56:42Z,2.0281,6,88,54,2425,2,4,1
supabase/supabase,45589,feat(studio): show expand affordance for large SQL result cells,MERGED,2026-05-05T13:51:05Z,2026-05-05T17:00:10Z,2026-05-05T17:00:10Z,3.1514,5,179,27,2015,2,5,1
supabase/supabase,45575,Opt to use HoverCard instead of Popover for project status,MERGED,2026-05-05T06:55:24Z,2026-05-05T09:05:20Z,2026-05-05T09:05:20Z,2.1656,1,7,7,845,2,5,1
supabase/supabase,45574,RLS Tester to include policies that are applied to public,MERGED,2026-05-05T06:29:46Z,2026-05-05T09:02:42Z,2026-05-05T09:02:42Z,2.5489,5,420,11,847,2,5,2
supabase/supabase,45573,Fix multi selector content not scrollable if rendered in a sheet,MERGED,2026-05-05T06:25:04Z,2026-05-05T08:31:44Z,2026-05-05T08:31:44Z,2.1111,2,1,1,1069,3,4,3
supabase/supabase,45569,chore(studio): align sidebar hover states,MERGED,2026-05-05T01:35:32Z,2026-05-05T13:52:12Z,2026-05-05T13:52:12Z,12.2778,10,28,117,1399,4,5,3
supabase/supabase,45568,blog: Realtime or ETL? How to choose the right tool,MERGED,2026-05-05T01:01:39Z,2026-05-05T14:39:31Z,2026-05-05T14:39:31Z,13.6311,1,186,0,882,3,5,2
supabase/supabase,45563,Add Kai M to the humans.txt list,MERGED,2026-05-05T00:05:44Z,2026-05-05T14:05:13Z,2026-05-05T14:05:13Z,13.9914,1,1,0,266,2,4,1
supabase/supabase,45562,fix: add query params for simple-redirect integrations,MERGED,2026-05-04T23:04:05Z,2026-05-05T08:38:47Z,2026-05-05T08:38:47Z,9.5783,1,12,1,701,3,7,6
supabase/supabase,45560,feat(studio): extend safe SQL model to policy editor and related interfaces,MERGED,2026-05-04T20:21:30Z,2026-05-05T16:02:53Z,2026-05-05T16:02:53Z,19.6897,20,219,136,2868,2,5,3
supabase/supabase,45559,docs: update js sdk docs (2.105.2),MERGED,2026-05-04T19:32:25Z,2026-05-05T09:07:24Z,2026-05-05T09:07:24Z,13.5831,19,68083,55213,315,1,2,1
supabase/supabase,45552,pg-meta: convert last files to use SafeSqlFragment,MERGED,2026-05-04T17:34:01Z,2026-05-04T19:06:44Z,2026-05-04T19:06:44Z,1.5453,2,24,16,349,2,4,1
supabase/supabase,45548,docs: fix anchor duplication,MERGED,2026-05-04T16:41:14Z,2026-05-05T01:55:52Z,2026-05-05T01:55:52Z,9.2439,1,4,4,1074,3,4,2
supabase/supabase,45546,feat(studio): add D + letter shortcuts for Database sub-pages,MERGED,2026-05-04T16:36:59Z,2026-05-05T15:57:26Z,2026-05-05T15:57:26Z,23.3408,7,309,14,3961,2,4,1
supabase/supabase,45543,fix(studio): escape SQL literals in logs query builders and validate user IDs,CLOSED,2026-05-04T16:31:34Z,2026-05-05T15:08:14Z,,22.6111,4,23,13,2292,2,4,2
supabase/supabase,45542,blog: branching without git is now the default,MERGED,2026-05-04T16:19:42Z,2026-05-04T19:07:38Z,2026-05-04T19:07:38Z,2.7989,5,123,18,1968,2,5,4
supabase/supabase,45535,"Revert ""chore(studio + design-system): more flexible Admonition""",MERGED,2026-05-04T14:59:41Z,2026-05-04T16:18:28Z,2026-05-04T16:18:28Z,1.3131,23,69,217,722,4,6,4
supabase/supabase,45531,chore: update cli reference doc,MERGED,2026-05-04T14:36:26Z,2026-05-04T16:20:09Z,2026-05-04T16:20:09Z,1.7286,1,8,6,0,1,3,1
supabase/supabase,45524,feat(mcp): add Claude.ai and ChatGPT connectors with grouped client dropdown,MERGED,2026-05-04T13:30:09Z,2026-05-04T15:05:47Z,2026-05-04T15:05:47Z,1.5939,4,107,50,1452,4,5,4
supabase/supabase,45519,feat(studio): add `token_endpoint_auth_method` field to OAuth app,MERGED,2026-05-04T10:07:08Z,2026-05-05T10:02:31Z,2026-05-05T10:02:31Z,23.9231,1,62,5,1666,2,5,1
supabase/supabase,45515,Refactor merge page into smaller components + add admonition if branch cannot be merged via dashboard,MERGED,2026-05-04T09:41:53Z,2026-05-05T08:32:38Z,2026-05-05T08:32:38Z,22.8458,4,306,148,1574,2,5,4
supabase/supabase,45514,fix(studio): name the 5 MB/s throttle floor in disk IO banner,MERGED,2026-05-04T09:37:50Z,2026-05-04T10:45:51Z,2026-05-04T10:45:51Z,1.1336,1,5,5,2052,2,5,1
supabase/supabase,45513,chore: Bump vulnerable dependencies,MERGED,2026-05-04T09:19:30Z,2026-05-04T11:41:09Z,2026-05-04T11:41:09Z,2.3608,6,348,946,496,3,5,2
