repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
syncthing/syncthing,10657,fix(gui): fallback to folder ID when label is empty in remove dialog,MERGED,2026-04-23T07:48:54Z,2026-04-23T09:02:26Z,2026-04-23T09:02:25Z,1.2253,1,1,1,737,2,1,1
syncthing/syncthing,10655,chore(model): Improve memory usage during scan error retention,CLOSED,2026-04-23T04:07:01Z,2026-04-23T08:38:20Z,,4.5219,2,122,5,1234,4,4,1
syncthing/syncthing,10653,chore(model): more efficient tracking of renames during scan,MERGED,2026-04-22T13:30:00Z,2026-04-23T05:20:52Z,2026-04-23T05:20:52Z,15.8478,2,97,7,93,2,0,1
syncthing/syncthing,10652,fix: Reduce memory and unnecessary map growth during scanning,CLOSED,2026-04-22T12:46:18Z,2026-04-23T05:19:58Z,,16.5611,2,59,3,1699,3,2,2
syncthing/syncthing,10651,fix(gui): fix tabs visually disabled but still clickable during ignore patterns setup (fixes #10634),MERGED,2026-04-22T10:28:50Z,2026-04-24T07:53:36Z,2026-04-24T07:53:36Z,45.4128,2,61,5,1067,2,0,1
syncthing/syncthing,10637,"fix(gui): order folders alphabetically and ensure local device stays hidden (ref #10563, ref #10631)",MERGED,2026-04-09T08:50:14Z,2026-04-11T11:52:21Z,2026-04-11T11:52:21Z,51.0353,1,42,16,1641,3,5,1
syncthing/syncthing,10636,fix(upgrade): properly close response body on non-2xx status,CLOSED,2026-04-09T06:53:14Z,2026-04-22T06:38:08Z,,311.7483,1,2,1,720,2,1,1
syncthing/syncthing,10632,feat: make http session cookie path & duration configurable,MERGED,2026-04-08T19:53:24Z,2026-04-26T07:59:24Z,2026-04-26T07:59:24Z,420.1,5,124,17,422,3,2,5
syncthing/syncthing,10625,build: pin 20 third-party actions to immutable commit SHAs,MERGED,2026-04-05T21:15:35Z,2026-04-07T14:55:54Z,2026-04-07T14:55:54Z,41.6719,5,21,21,2052,3,6,1
syncthing/syncthing,10624,build: extract github.ref_name expression to env mapping,MERGED,2026-04-05T21:06:30Z,2026-04-06T15:24:12Z,2026-04-06T15:24:12Z,18.295,1,3,1,399,3,0,1
syncthing/syncthing,10617,"fix: pin 20 actions to commit SHA, extract 1 expressions to env vars",CLOSED,2026-03-28T05:45:04Z,2026-04-05T20:45:52Z,,207.0133,5,23,21,1955,2,2,1
syncthing/syncthing,10615,fix(stdiscosrv): close file descriptor on flush error in write,MERGED,2026-03-25T12:31:16Z,2026-03-26T00:37:36Z,2026-03-26T00:37:35Z,12.1053,1,1,1,314,2,0,1
syncthing/syncthing,10612,fix: set mtime on temp file before rename in performFinish (fixes #10599),CLOSED,2026-03-24T05:12:57Z,2026-04-08T03:22:06Z,,358.1525,2,44,0,886,2,1,1
syncthing/syncthing,10608,feat: make block indexing configurable,MERGED,2026-03-16T13:27:37Z,2026-04-26T09:58:10Z,2026-04-26T09:58:10Z,980.5092,19,449,36,1532,3,7,4
syncthing/syncthing,10607,fix(pmp): return nil on all GetExternalAddress errors (fixes #10486),CLOSED,2026-03-16T04:17:38Z,2026-04-22T06:38:08Z,,890.3417,1,3,1,1134,2,0,2
syncthing/syncthing,10605,fix(systemd): add back chown allowed syscalls,MERGED,2026-03-12T11:57:42Z,2026-03-13T11:53:36Z,2026-03-13T11:53:36Z,23.9317,1,0,7,3060,3,3,1
syncthing/syncthing,10595,fix(protocol): verify compressed message length before decompression,MERGED,2026-03-07T13:34:30Z,2026-03-07T15:29:15Z,2026-03-07T15:29:14Z,1.9122,1,7,2,131,2,0,1
syncthing/syncthing,10594,build(deps): temporarily switch to fork of gateway discovery library (fixes #10593),MERGED,2026-03-06T21:10:09Z,2026-03-29T20:05:07Z,2026-03-29T20:05:07Z,550.9161,2,5,2,156,2,1,2
