repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
tesseract-ocr/tesseract,4537,Fix autotools shared library versioning producing wrong soname,CLOSED,2026-03-29T16:59:58Z,2026-03-30T06:40:08Z,,13.6694,1,7,1,2611,4,5,3
tesseract-ocr/tesseract,4534,Use asciidoctor instead of asciidoc-py for manpage generation,MERGED,2026-03-24T14:26:21Z,2026-04-21T11:29:15Z,2026-04-21T11:29:15Z,669.0483,5,51,47,5534,3,23,4
tesseract-ocr/tesseract,4522,Update versions of GitHub actions,MERGED,2026-02-28T08:16:59Z,2026-02-28T12:13:27Z,2026-02-28T12:13:27Z,3.9411,4,4,4,0,2,0,1
tesseract-ocr/tesseract,4517,Correct mutex call to prevent multiple instances,MERGED,2026-02-19T22:39:04Z,2026-02-21T09:05:50Z,2026-02-21T09:05:50Z,34.4461,1,4,4,508,3,1,3
tesseract-ocr/tesseract,4516,Add Portuguese language support and section descriptions (Windows installer),MERGED,2026-02-19T22:30:35Z,2026-02-20T12:11:56Z,2026-02-20T12:11:56Z,13.6892,1,22,1,100,2,1,4
tesseract-ocr/tesseract,4513,fix(nsi): mask LANGID to 16-bit for reliable auto-detection,MERGED,2026-02-19T16:54:54Z,2026-02-21T08:52:14Z,2026-02-21T08:52:14Z,39.9556,1,1,0,1200,3,0,2
tesseract-ocr/tesseract,4511,docs: document memory ownership and lifecycle in C-API,MERGED,2026-02-13T00:18:46Z,2026-02-13T06:42:58Z,2026-02-13T06:42:57Z,6.4031,1,140,0,1120,4,0,2
tesseract-ocr/tesseract,4509,Remove outdated docker-compose.yml (Fixes #4492),MERGED,2026-02-09T13:37:19Z,2026-02-09T16:03:43Z,2026-02-09T16:03:43Z,2.44,1,0,2,483,2,0,1
tesseract-ocr/tesseract,4508,Add GitHub Copilot instructions,MERGED,2026-02-08T19:48:09Z,2026-02-21T09:03:00Z,2026-02-21T09:03:00Z,301.2475,1,363,0,3172,2,0,1
tesseract-ocr/tesseract,4496,Optimize dot product using restrict keyword (Fixes #4393),CLOSED,2025-12-22T17:11:45Z,2025-12-23T06:56:24Z,,13.7442,7,27,17,741,3,6,1
tesseract-ocr/tesseract,4464,Move version info. to appropriate ALTO element,MERGED,2025-10-09T15:27:41Z,2025-10-11T06:24:11Z,2025-10-11T06:24:11Z,38.9417,1,3,4,279,3,0,5
tesseract-ocr/tesseract,4462,chore: fix cyrillic typo,MERGED,2025-10-01T21:29:42Z,2025-10-02T04:47:05Z,2025-10-02T04:47:05Z,7.2897,1,2,2,0,2,0,1
tesseract-ocr/tesseract,4461,Update checkout action,MERGED,2025-10-01T17:22:30Z,2025-10-01T19:50:45Z,2025-10-01T19:50:45Z,2.4708,13,14,14,0,2,0,1
tesseract-ocr/tesseract,4452,Cmake optimization with warp2,MERGED,2025-08-10T20:27:02Z,2025-08-15T21:00:54Z,2025-08-15T21:00:54Z,120.5644,10,867,46,665,3,7,1
tesseract-ocr/tesseract,4438,Modernize some for loops and fix some signed/unsigned issues,MERGED,2025-07-06T10:19:34Z,2025-07-06T20:03:25Z,2025-07-06T20:03:25Z,9.7308,4,32,30,0,2,1,1
tesseract-ocr/tesseract,4437,Fix and improve configuration for cmake builds,MERGED,2025-07-05T17:30:07Z,2025-07-06T04:31:07Z,2025-07-06T04:31:07Z,11.0167,3,10,7,0,2,0,1
tesseract-ocr/tesseract,4436,Simplify code for osdetect,MERGED,2025-07-05T17:27:39Z,2025-07-06T04:30:33Z,2025-07-06T04:30:33Z,11.0483,2,10,23,353,2,0,1
tesseract-ocr/tesseract,4423,Use links to the git history and online release notes instead of local ChangeLog,MERGED,2025-05-25T07:10:43Z,2025-05-25T09:22:34Z,2025-05-25T09:22:34Z,2.1975,1,4,463,0,2,1,1
tesseract-ocr/tesseract,4419,Remove unused include statements for tprintf.h,MERGED,2025-05-01T08:01:02Z,2025-05-01T09:35:52Z,2025-05-01T09:35:51Z,1.5803,5,0,5,0,3,0,2
tesseract-ocr/tesseract,4418,Avoid error in pixSauvolaBinarizeTiled (issue #4390),MERGED,2025-04-27T12:54:31Z,2025-04-27T17:52:01Z,2025-04-27T17:52:01Z,4.9583,1,4,1,162,2,0,1
tesseract-ocr/tesseract,4417,Fix function addAvailableLanguages (issue #4416),MERGED,2025-04-27T06:28:34Z,2025-04-27T12:09:23Z,2025-04-27T12:09:23Z,5.6803,1,3,4,0,2,0,1
tesseract-ocr/tesseract,4386,Fix duplicated IDs in ALTO XML when multiple pages are present,MERGED,2025-01-25T13:17:56Z,2025-05-01T08:02:02Z,2025-05-01T08:02:02Z,2298.735,1,20,6,619,3,3,3
tesseract-ocr/tesseract,4383,Fix building elf_aux_info() support on OpenBSD/arm,MERGED,2025-01-16T02:47:42Z,2025-01-17T10:55:52Z,2025-01-17T10:55:52Z,32.1361,1,0,1,75,3,0,2
tesseract-ocr/tesseract,4365,Check if datadir exists: fixes #4364,CLOSED,2024-12-02T19:31:34Z,2025-04-27T12:14:36Z,,3496.7172,1,4,0,88,4,0,10
tesseract-ocr/tesseract,4356,Make list classes templated,MERGED,2024-11-22T00:54:49Z,2024-11-22T21:25:29Z,2024-11-22T21:25:29Z,20.5111,49,2900,3440,866,2,16,7
tesseract-ocr/tesseract,4350,Remove Tensorflow support,MERGED,2024-11-07T10:45:44Z,2024-11-07T12:40:43Z,2024-11-07T12:40:43Z,1.9164,13,3,2050,52,2,2,3
tesseract-ocr/tesseract,4348,Fix and improve Windows installer,MERGED,2024-11-06T18:33:42Z,2024-11-06T20:44:50Z,2024-11-06T20:44:50Z,2.1856,3,9,63,179,2,0,1
tesseract-ocr/tesseract,4346,Add RISC-V V support,MERGED,2024-11-05T08:03:40Z,2024-11-07T21:13:58Z,2024-11-07T21:13:58Z,61.1717,7,149,0,186,3,7,16
tesseract-ocr/tesseract,4345,Replace some tprintf by tesserr stream (fixes Windows compiler warnings),MERGED,2024-11-03T09:29:21Z,2024-11-03T16:53:45Z,2024-11-03T16:53:45Z,7.4067,12,57,39,0,2,1,1
tesseract-ocr/tesseract,4344,Support symbolic values for --oem and --psm options,MERGED,2024-11-01T22:04:15Z,2024-11-02T06:01:00Z,2024-11-02T06:01:00Z,7.9458,1,85,35,23,2,0,1
tesseract-ocr/tesseract,4341,Add GitHub action and Makefile target for Windows installer,MERGED,2024-11-01T07:30:23Z,2024-11-02T06:00:33Z,2024-11-02T06:00:33Z,22.5028,10,2108,0,360,4,2,10
tesseract-ocr/tesseract,4330,Modernize code for renderers and remove filename conversion for Windows,MERGED,2024-10-22T14:52:37Z,2024-10-23T05:34:07Z,2024-10-23T05:34:07Z,14.6917,3,18,77,241,3,1,2
tesseract-ocr/tesseract,4326,Replace deprecated runner macos-12 by macos-latest in GitHub actions,MERGED,2024-10-17T06:47:18Z,2024-10-17T16:39:46Z,2024-10-17T16:39:46Z,9.8744,3,5,6,64,2,1,1
tesseract-ocr/tesseract,4319,cmake: Correctly set the soversion based on SemVer properties,MERGED,2024-09-18T11:45:28Z,2024-09-19T13:18:08Z,2024-09-19T13:18:08Z,25.5444,1,1,1,531,3,1,1
tesseract-ocr/tesseract,4314,Add C++ stream for log messages and use it in two debug messages,MERGED,2024-09-03T14:35:47Z,2024-09-04T03:22:04Z,2024-09-04T03:22:04Z,12.7714,5,96,15,373,3,1,3
tesseract-ocr/tesseract,4312,Remove excessive floating-point divides,CLOSED,2024-09-03T04:05:05Z,2024-10-01T11:11:21Z,,679.1044,4,18,10,261,4,16,5
tesseract-ocr/tesseract,4309,Fix performance and other issues reported by Codacy,MERGED,2024-08-26T06:24:34Z,2024-08-26T11:16:09Z,2024-08-26T11:16:09Z,4.8597,12,45,49,129,2,2,1
tesseract-ocr/tesseract,4308,Modernize code for list of available models,MERGED,2024-08-25T17:03:50Z,2024-08-26T05:38:40Z,2024-08-26T05:38:40Z,12.5806,1,14,62,0,2,0,1
tesseract-ocr/tesseract,4307,Replace access/_access by std::filesystem::exists,MERGED,2024-08-25T15:27:26Z,2024-08-25T16:57:22Z,2024-08-25T16:57:22Z,1.4989,3,8,39,0,2,0,1
tesseract-ocr/tesseract,4306,Update code for tprintf,MERGED,2024-08-25T08:47:23Z,2024-09-03T13:42:03Z,2024-09-03T13:42:03Z,220.9111,2,33,28,165,2,0,2
tesseract-ocr/tesseract,4303,Reduce clock syscalls,MERGED,2024-08-22T18:12:10Z,2024-08-23T06:16:52Z,2024-08-23T06:16:52Z,12.0783,1,5,2,393,4,5,14
tesseract-ocr/tesseract,4301,Set hOCR capabilities ocrp_dir and ocrp_lang unconditionally,MERGED,2024-08-11T16:11:45Z,2024-08-12T07:10:32Z,2024-08-12T07:10:32Z,14.9797,1,2,2,76,2,1,1
tesseract-ocr/tesseract,4283,Fix confidence output for the PAGE XML renderer,MERGED,2024-07-12T09:30:26Z,2024-07-25T09:29:45Z,2024-07-25T09:29:45Z,311.9886,1,5,3,250,2,0,1
tesseract-ocr/tesseract,4278,"Ignore illegal TESSDATA_PREFIX (not existing filesystem entry, issue #4277)",MERGED,2024-07-03T15:49:06Z,2024-07-03T18:47:55Z,2024-07-03T18:47:55Z,2.9803,1,8,1,69,2,0,3
tesseract-ocr/tesseract,4272,Make regular usage of CMAKE_INSTALL_LIBDIR and GNUInstallDirs,MERGED,2024-06-21T02:03:49Z,2024-06-21T11:09:20Z,2024-06-21T11:09:20Z,9.0919,2,9,11,174,4,9,2
tesseract-ocr/tesseract,4266,Fix some issues which were reported by Codacy,MERGED,2024-06-11T14:00:14Z,2024-06-11T15:52:58Z,2024-06-11T15:52:58Z,1.8789,11,39,56,0,2,3,1
tesseract-ocr/tesseract,4259,Avoid FP overflow in NormEvidenceOf (fixes issue #4257),MERGED,2024-06-09T08:02:14Z,2024-06-09T11:11:26Z,2024-06-09T11:11:26Z,3.1533,1,7,3,0,3,0,1
tesseract-ocr/tesseract,4253,Make function Network::spec pure virtual,MERGED,2024-05-28T10:44:27Z,2024-05-28T13:21:46Z,2024-05-28T13:21:46Z,2.6219,1,1,3,57,2,0,1
tesseract-ocr/tesseract,4250,Replace strcpy and strncpy by new inline helper function,MERGED,2024-05-24T08:14:54Z,2024-05-24T13:24:35Z,2024-05-24T13:24:35Z,5.1614,10,33,55,0,2,2,3
tesseract-ocr/tesseract,4248,Fixes #4247: remove unnecessary nullptr checks,MERGED,2024-05-23T07:29:55Z,2024-05-23T14:56:45Z,2024-05-23T14:56:45Z,7.4472,1,5,7,10,3,3,5
tesseract-ocr/tesseract,4246,Fix some compiler warnings,MERGED,2024-05-20T07:10:58Z,2024-05-20T10:50:00Z,2024-05-20T10:50:00Z,3.6506,2,20,2,0,3,0,3
