repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
thedotmack/claude-mem,2302,[codex] Remove agent pool timeout data loss,MERGED,2026-05-05T02:44:10Z,2026-05-05T21:46:28Z,2026-05-05T21:46:28Z,19.0383,10,538,263,1276,1,10,22
thedotmack/claude-mem,2300,fix: install no longer fails on tree-sitter peer-dep ERESOLVE,MERGED,2026-05-04T22:42:02Z,2026-05-05T03:21:23Z,2026-05-05T03:21:23Z,4.6558,2,30,26,2641,1,2,3
thedotmack/claude-mem,2290,Remove stale internal docs and reports,MERGED,2026-05-04T10:28:30Z,2026-05-05T03:22:30Z,2026-05-05T03:22:30Z,16.9,100,4,28492,275,1,2,1
thedotmack/claude-mem,2282,"fix: bug-batch — 17 issues + 4 foundations (chroma, opencode, parser, OAuth, paths, uptime, classification)",MERGED,2026-05-03T23:36:14Z,2026-05-04T05:27:07Z,2026-05-04T05:27:07Z,5.8481,63,4439,1084,6486,1,2,10
thedotmack/claude-mem,2255,UX redesign: installer + provider rename + /learn-codebase + welcome card + SessionStart hint,MERGED,2026-05-02T20:26:09Z,2026-05-02T23:05:56Z,2026-05-02T23:05:56Z,2.6631,452,6181,21051,1251,1,3,16
thedotmack/claude-mem,2230,fix: validate Claude executable with --version and detect desktop app,CLOSED,2026-04-30T22:35:03Z,2026-05-04T05:30:39Z,,78.9267,4,307,239,810,1,3,2
thedotmack/claude-mem,2229,fix: kill chroma-mcp process tree and limit backfill concurrency,CLOSED,2026-04-30T22:34:57Z,2026-05-04T05:30:34Z,,78.9269,3,294,157,727,1,3,2
thedotmack/claude-mem,2228,fix: add CLAUDE_CODE_OAUTH_TOKEN to managed credential keys,CLOSED,2026-04-30T22:34:49Z,2026-05-04T05:30:29Z,,78.9278,2,84,72,576,1,3,3
thedotmack/claude-mem,2227,fix: use Zod schemas in OpenCode plugin to fix _zod.def crash,CLOSED,2026-04-30T22:34:43Z,2026-05-04T05:30:13Z,,78.925,1,3,4,598,2,3,3
thedotmack/claude-mem,2221,fix: neutralize chroma-mcp CPU storm (thread caps + per-batch watermark),CLOSED,2026-04-30T03:00:42Z,2026-05-04T05:30:43Z,,98.5003,5,610,543,2499,1,3,2
thedotmack/claude-mem,2207,"fix: chroma-mcp singleton lockfile + working periodic reaper (closes #2184, #2195)",CLOSED,2026-04-29T20:20:21Z,2026-04-29T23:45:58Z,,3.4269,4,326,176,3022,1,5,6
thedotmack/claude-mem,2203,fix: filter chroma-mcp stdout banners to fix MCP handshake (closes #2197),CLOSED,2026-04-29T20:16:00Z,2026-04-29T23:46:50Z,,3.5139,3,225,110,2563,1,3,3
thedotmack/claude-mem,2156,UX redesign: installer + provider rename + /learn-codebase + welcome card + SessionStart hint,CLOSED,2026-04-27T09:43:38Z,2026-05-02T20:26:16Z,,130.7106,449,5472,28521,3602,1,8,24
thedotmack/claude-mem,2124,fix: hard-exclude observer-sessions from hooks; bundle migration 29,MERGED,2026-04-25T02:27:59Z,2026-04-25T20:26:18Z,2026-04-25T20:26:18Z,17.9719,24,1241,749,1675,1,8,1
thedotmack/claude-mem,2122,perf: streamline worker startup and consolidate database connections,MERGED,2026-04-25T00:35:07Z,2026-04-25T20:37:41Z,2026-04-25T20:37:41Z,20.0428,159,18096,5848,1257,1,7,2
thedotmack/claude-mem,2110,refactor: PATHFINDER-2026-04-22 — second-system accretion sweep across 7 plans,CLOSED,2026-04-24T00:56:14Z,2026-04-25T20:46:20Z,,43.835,147,16977,5479,5695,1,24,9
thedotmack/claude-mem,2084,feat: security observation types + Telegram notifier,MERGED,2026-04-22T19:53:23Z,2026-04-22T23:08:29Z,2026-04-22T23:08:29Z,3.2517,18,560,333,3079,1,8,6
thedotmack/claude-mem,2083,fix: stop Windows Max-plan drain loop,CLOSED,2026-04-21T03:02:45Z,2026-04-22T23:43:54Z,,44.6858,6,722,31,2903,1,3,2
thedotmack/claude-mem,2080,"fix: Issue Blowout 2026 — 25 bugs across worker, hooks, security, and search",MERGED,2026-04-20T07:18:53Z,2026-04-20T18:42:09Z,2026-04-20T18:42:09Z,11.3878,38,1236,414,2069,1,11,5
thedotmack/claude-mem,2072,fix: break infinite summary-retry loop (#1633),MERGED,2026-04-19T08:30:09Z,2026-04-19T19:00:39Z,2026-04-19T19:00:38Z,10.5081,7,351,11,2196,2,7,5
