repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
trimstray/the-book-of-secret-knowledge,525,Add ReleaseRun Security Scanners to Containers/Orchestration Web Tools section,CLOSED,2026-03-15T18:56:59Z,2026-03-28T12:24:16Z,,305.4547,1,1,0,1126,4,2,2
trimstray/the-book-of-secret-knowledge,520,Add gui.new - shareable HTML links with real-time sync,CLOSED,2026-03-12T00:26:54Z,2026-03-12T15:27:40Z,,15.0128,1,1,0,342,2,0,1
trimstray/the-book-of-secret-knowledge,504,Added feeder.co as RSS Reader tool in README.md,CLOSED,2026-02-04T17:50:28Z,2026-03-03T20:41:20Z,,650.8478,1,1,0,106,5,3,4
trimstray/the-book-of-secret-knowledge,502,Add NullSec Linux to Operating Systems section,CLOSED,2026-01-23T19:45:37Z,2026-02-09T03:33:22Z,,391.7958,1,1,0,750,4,1,3
trimstray/the-book-of-secret-knowledge,501,a little update,CLOSED,2026-01-13T21:59:34Z,2026-01-24T02:56:16Z,,244.945,11,2480,10,2666,7,3,10
trimstray/the-book-of-secret-knowledge,492,Fix README: use official website for PuTTY,CLOSED,2025-08-23T11:44:54Z,2025-10-31T09:59:53Z,,1654.2497,1,1,1,170,3,0,2
trimstray/the-book-of-secret-knowledge,489,Update README.md,CLOSED,2025-07-29T16:30:22Z,2025-08-31T07:22:36Z,,782.8706,1,1,1,49,8,1,7
trimstray/the-book-of-secret-knowledge,487,Update README.md,CLOSED,2025-07-19T14:50:51Z,2025-08-31T07:23:00Z,,1024.5358,1,1,1,52,4,0,4
trimstray/the-book-of-secret-knowledge,483,changed pagespeed url and added a couple more,CLOSED,2025-07-11T11:23:32Z,2026-05-04T07:24:21Z,,7124.0136,1,4,2,222,3,0,5
trimstray/the-book-of-secret-knowledge,477,docs: replace uBlock Origin with Lite version,CLOSED,2025-05-28T16:21:08Z,2025-11-10T14:48:27Z,,3982.4553,1,1,1,167,8,3,5
trimstray/the-book-of-secret-knowledge,472,Adding Komodo IDE to the list,CLOSED,2025-05-10T03:23:15Z,2025-06-21T13:16:24Z,,1017.8858,1,1,0,0,2,0,4
trimstray/the-book-of-secret-knowledge,467,Create SECURITY.md,CLOSED,2025-03-26T14:39:51Z,2025-04-10T07:03:44Z,,352.3981,1,22,0,11,7,1,27
trimstray/the-book-of-secret-knowledge,460,Add OneCompiler to Code parsers/playgrounds,CLOSED,2025-02-09T12:26:52Z,2025-12-21T09:52:40Z,,7557.43,1,1,0,187,4,0,3
trimstray/the-book-of-secret-knowledge,457,fix icon colour issues when in dark mode,CLOSED,2025-01-23T17:50:52Z,2026-01-13T16:30:34Z,,8518.6617,2,4,1,593,14,6,16
trimstray/the-book-of-secret-knowledge,452,Added Hudson Rock to Passwords and Geeky Vendor Blogs,CLOSED,2024-12-22T13:04:14Z,2025-06-11T03:00:16Z,,4093.9339,1,2,0,272,9,4,6
trimstray/the-book-of-secret-knowledge,444,Create Infinity.json,CLOSED,2024-08-10T06:52:48Z,2024-08-29T00:35:59Z,,449.7197,1,1,0,937,5,1,3
trimstray/the-book-of-secret-knowledge,443,fix grammar errors,CLOSED,2024-08-05T06:53:11Z,2024-08-13T07:35:06Z,,192.6986,1,1,1,119,2,0,3
trimstray/the-book-of-secret-knowledge,440,Remove weleakinfo as it is no longer available.,CLOSED,2024-08-01T08:13:32Z,2024-08-01T12:32:29Z,,4.3158,1,0,2,0,2,0,1
trimstray/the-book-of-secret-knowledge,439,docs: update README.md,CLOSED,2024-07-31T18:24:12Z,2025-08-20T17:38:42Z,,9239.2417,1,1,1,17,9,1,8
trimstray/the-book-of-secret-knowledge,433,Create SECURITY.md,CLOSED,2024-06-15T14:48:36Z,2024-06-20T06:34:17Z,,111.7614,1,21,0,2,2,0,4
trimstray/the-book-of-secret-knowledge,431,Update deprecated resource,CLOSED,2024-05-25T11:36:08Z,2025-05-24T12:43:10Z,,8737.1172,1,1,1,180,16,7,29
trimstray/the-book-of-secret-knowledge,425,Update README.md,CLOSED,2024-04-10T10:25:44Z,2024-05-09T18:55:43Z,,704.4997,1,1,1,114,7,6,7
trimstray/the-book-of-secret-knowledge,423,Update README.md: Added netcat oneliners for audio/video calls and colored chat,CLOSED,2024-03-27T22:34:53Z,2025-04-06T17:21:52Z,,8994.7831,1,43,0,383,6,10,11
