repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
unionlabs/union,5453,"feat: document a bunch of cosmwasm stuff, format comments, fix misbehaviour",MERGED,2026-05-01T18:19:19Z,2026-05-05T21:20:29Z,2026-05-05T21:20:29Z,99.0194,39,1013,542,199,3,1,2
unionlabs/union,5451,chore(deployments): update,MERGED,2026-04-29T09:35:25Z,2026-04-29T12:53:02Z,2026-04-29T12:53:02Z,3.2936,1,4,4,0,2,1,1
unionlabs/union,5450,chore(lst): fix nixos module config,MERGED,2026-04-28T10:49:03Z,2026-04-29T09:09:55Z,2026-04-29T09:09:55Z,22.3478,1,35,40,0,2,1,1
unionlabs/union,5449,feat(bob): upgrade to latest version,MERGED,2026-04-28T09:30:30Z,2026-04-29T09:10:20Z,2026-04-29T09:10:20Z,23.6639,3,109,27,0,3,2,2
unionlabs/union,5448,feat(voyager): handle timeouts a bit better,MERGED,2026-04-27T15:57:11Z,2026-04-27T17:12:55Z,2026-04-27T17:12:55Z,1.2622,3,79,20,0,3,1,1
unionlabs/union,5447,feat(lst): init ocw,MERGED,2026-04-26T22:47:57Z,2026-04-28T09:32:55Z,2026-04-28T09:32:54Z,34.7492,7,535,4,0,2,2,1
unionlabs/union,5446,feat(lst): permissionless receive unstaked tokens entrypoint on lst hub,MERGED,2026-04-23T20:32:02Z,2026-04-26T10:30:34Z,2026-04-26T10:30:34Z,61.9756,12,822,43,0,3,1,2
unionlabs/union,5444,fix(app): enrich chain data with minter display address,MERGED,2026-04-16T23:53:20Z,2026-04-17T11:51:53Z,2026-04-17T11:51:53Z,11.9758,3,130,44,0,3,2,2
unionlabs/union,5437,feat(ts-sdk-evm): provide packet metadata in prepareEip1193,MERGED,2026-02-18T15:47:03Z,2026-02-18T16:48:32Z,2026-02-18T16:48:31Z,1.0244,3,26,4,0,2,2,2
unionlabs/union,5434,fix(app): testnet gas,MERGED,2026-02-10T14:38:12Z,2026-02-11T04:46:58Z,2026-02-11T04:46:58Z,14.1461,1,3,3,0,2,2,1
unionlabs/union,5433,feat(voyager): docker image,MERGED,2026-02-09T16:43:10Z,2026-02-11T15:45:12Z,2026-02-11T15:45:12Z,47.0339,2,35,0,0,3,1,2
unionlabs/union,5432,deployments stuff,MERGED,2026-02-09T11:25:26Z,2026-02-09T16:44:23Z,2026-02-09T16:44:23Z,5.3158,9,207,72,0,4,1,3
unionlabs/union,5431,feat(u): predict proxy evm,MERGED,2026-02-06T10:49:39Z,2026-02-06T15:44:31Z,2026-02-06T15:44:31Z,4.9144,1,29,8,0,3,1,4
unionlabs/union,5429,feat(app): block height fallback in trace explorer,MERGED,2026-02-03T16:53:29Z,2026-02-03T19:28:08Z,2026-02-03T19:28:08Z,2.5775,4,6931,88,0,2,2,1
unionlabs/union,5427,Voyager otel logs,MERGED,2026-02-02T14:57:57Z,2026-02-02T16:32:24Z,2026-02-02T16:32:24Z,1.5742,18,637,368,0,2,1,2
unionlabs/union,5426,feat(voyager): support cosmos block events and make tx hash optional for events,MERGED,2026-02-02T14:54:29Z,2026-02-06T10:48:44Z,2026-02-06T10:48:44Z,91.9042,15,451,220,0,2,1,1
