repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
vercel/next.js,93512,[ci] Remove unused `setup-nextjs-build.yml` workflow,MERGED,2026-05-05T21:14:37Z,2026-05-05T22:35:41Z,2026-05-05T22:35:41Z,1.3511,1,0,121,413,2,2,1
vercel/next.js,93507,[backport] fix accidental test duplication,MERGED,2026-05-05T18:52:06Z,2026-05-05T21:54:21Z,2026-05-05T21:54:21Z,3.0375,3,0,250,22,3,1,1
vercel/next.js,93504,Turbopack: fix import_usage for functions behind member expressions,MERGED,2026-05-05T16:58:31Z,2026-05-05T18:18:47Z,2026-05-05T18:18:47Z,1.3378,5,35,17,141,2,2,5
vercel/next.js,93502,"Revert ""Upgrade to swc 65 (#93325)""",CLOSED,2026-05-05T16:15:19Z,2026-05-05T18:18:45Z,,2.0572,2,84,84,41,2,1,1
vercel/next.js,93491,Fix double-encoding of URL pathname parts in client param parsing,MERGED,2026-05-05T12:23:45Z,2026-05-05T15:06:20Z,2026-05-05T15:06:20Z,2.7097,7,193,6,1746,2,1,1
vercel/next.js,93490,[ci] Create unique preview build versions for canary previews,MERGED,2026-05-05T11:33:37Z,2026-05-05T13:39:46Z,2026-05-05T13:39:46Z,2.1025,2,4,1,105,2,2,1
vercel/next.js,93486,Fix dev mode reload and error on back navigation between Next.js pages,MERGED,2026-05-05T10:30:01Z,2026-05-05T12:24:06Z,2026-05-05T12:24:06Z,1.9014,4,52,34,2681,2,1,1
vercel/next.js,93471,[backport] Include deployment id in `cacheHandlers` keys,MERGED,2026-05-04T16:50:00Z,2026-05-05T21:54:04Z,2026-05-05T21:54:04Z,29.0678,22,214,3,142,4,2,2
vercel/next.js,93467,docs: clarify proxy runtime history,MERGED,2026-05-04T15:58:02Z,2026-05-05T14:47:04Z,2026-05-05T14:47:04Z,22.8172,1,2,2,665,2,3,3
vercel/next.js,93464,[ci] Allow configuring the base URL for preview builds,MERGED,2026-05-04T15:21:17Z,2026-05-04T17:47:08Z,2026-05-04T17:47:08Z,2.4308,7,22,9,229,2,1,1
vercel/next.js,93459,Bump `@vercel/ncc`,MERGED,2026-05-04T12:18:45Z,2026-05-04T14:03:01Z,2026-05-04T14:03:01Z,1.7378,148,20873,77903,441,2,2,1
vercel/next.js,93457,Upgrade React from `da9325b5-20260417` to `f4e0d4ed-20260429`,MERGED,2026-05-04T10:49:21Z,2026-05-04T11:58:07Z,2026-05-04T11:58:07Z,1.1461,62,838,806,768,2,2,1
vercel/next.js,93456,[ci] Migrate React sync off of `RELEASE_BOT_GITHUB_TOKEN`,MERGED,2026-05-04T08:37:12Z,2026-05-05T08:50:56Z,2026-05-05T08:50:56Z,24.2289,4,182,19,385,2,2,3
