repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
vitejs/vite,22348,docs: mention native config loader in CLI options,MERGED,2026-04-28T10:37:29Z,2026-04-29T03:33:38Z,2026-04-29T03:33:38Z,16.9358,1,52,52,534,2,0,1
vitejs/vite,22347,docs(create-vite): list react-compiler templates in README,MERGED,2026-04-28T10:37:14Z,2026-04-29T03:36:22Z,2026-04-29T03:36:22Z,16.9856,1,2,0,515,2,0,1
vitejs/vite,22343,fix: normalize t query decorations in removeTimestampQuery (fix #22239),CLOSED,2026-04-28T01:18:06Z,2026-04-28T02:42:17Z,,1.4031,2,22,1,1371,3,2,1
vitejs/vite,22339,refactor: show direct path type in bad character warning,MERGED,2026-04-27T15:40:43Z,2026-04-28T02:25:20Z,2026-04-28T02:25:20Z,10.7436,2,10,4,41,2,3,2
vitejs/vite,22334,fix(deps): update all non-major dependencies,MERGED,2026-04-27T01:04:44Z,2026-04-27T07:13:52Z,2026-04-27T07:13:52Z,6.1522,24,597,597,45883,1,0,1
vitejs/vite,22333,chore(deps): update dependency tsdown to ^0.21.10,MERGED,2026-04-27T01:03:31Z,2026-04-27T05:24:24Z,2026-04-27T05:24:23Z,4.3478,3,19,19,1949,1,0,1
vitejs/vite,22327,perf(vite): narrow test for changed files in esbuild plugin,CLOSED,2026-04-25T10:48:22Z,2026-04-27T12:20:12Z,,49.5306,1,21,23,595,2,1,2
vitejs/vite,22325,docs: explain mergeConfig skips null/undefined,MERGED,2026-04-25T10:30:30Z,2026-04-28T02:26:39Z,2026-04-28T02:26:39Z,63.9358,1,2,0,990,2,0,3
vitejs/vite,22306,fix(glob): align hmr matcher options with glob enumeration,MERGED,2026-04-23T07:35:09Z,2026-04-23T12:34:14Z,2026-04-23T12:34:14Z,4.9847,1,12,5,1491,2,0,1
vitejs/vite,22299,feat: update rolldown to 1.0.0-rc.17,MERGED,2026-04-22T11:40:45Z,2026-04-23T05:05:23Z,2026-04-23T05:05:23Z,17.4106,5,209,180,66,2,0,1
