repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
vllm-project/vllm,41744,[Attention] Minor refactor: layer takes ownership of the MLA prefill backend,MERGED,2026-05-05T15:50:35Z,2026-05-05T23:22:42Z,2026-05-05T23:22:42Z,7.5353,7,74,150,1066,2,1,3
vllm-project/vllm,41730,[BUGFIX] Support streamed_args_for_tool in MistralToolParser,MERGED,2026-05-05T12:51:38Z,2026-05-05T17:48:54Z,2026-05-05T17:48:54Z,4.9544,2,55,15,966,2,0,3
vllm-project/vllm,41729,Remove unnecessary runtime asserts from linear layers,MERGED,2026-05-05T12:34:42Z,2026-05-05T14:42:57Z,2026-05-05T14:42:57Z,2.1375,1,5,9,222,2,0,3
vllm-project/vllm,41699,[Model] Use AutoWeightsLoader for Plamo2,MERGED,2026-05-05T06:33:31Z,2026-05-05T08:56:24Z,2026-05-05T08:56:24Z,2.3814,1,83,85,4946,2,1,3
vllm-project/vllm,41690,[Model] Use AutoWeightsLoader for CohereMoe,MERGED,2026-05-05T02:53:12Z,2026-05-05T04:44:16Z,2026-05-05T04:44:16Z,1.8511,1,63,59,3887,2,4,3
vllm-project/vllm,41661,[Benchmark] Add --trust-remote-code flag to multi-turn benchmark,MERGED,2026-05-04T20:43:46Z,2026-05-05T08:00:38Z,2026-05-05T08:00:38Z,11.2811,1,9,1,1280,4,0,5
vllm-project/vllm,41649,Limit gpu utils and lower max BS on test_transcription_api_correctness.py,MERGED,2026-05-04T16:17:51Z,2026-05-04T17:30:03Z,2026-05-04T17:30:03Z,1.2033,1,3,1,331,2,0,3
vllm-project/vllm,41643,[Docs] Add non-causal support to attention backend docs,MERGED,2026-05-04T15:33:03Z,2026-05-04T20:35:15Z,2026-05-04T20:35:15Z,5.0367,2,39,29,725,3,2,4
vllm-project/vllm,41630,[NVFP4][fix] Fix `layer.weight` -> `w13` typo in NVFP4 MOE emulation kernel preparation,MERGED,2026-05-04T12:49:56Z,2026-05-04T20:13:37Z,2026-05-04T20:13:37Z,7.3947,1,1,1,1063,3,0,6
vllm-project/vllm,41624,Fix DeepSeek V4 reasoning before tool calls,CLOSED,2026-05-04T11:36:12Z,2026-05-05T05:20:08Z,,17.7322,4,114,3,1374,1,0,1
