repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
yangshun/tech-interview-handbook,740,Update binary.md: Correct shift direction,MERGED,2026-03-16T00:29:34Z,2026-03-20T05:10:26Z,2026-03-20T05:10:26Z,100.6811,1,1,1,55,2,0,1
yangshun/tech-interview-handbook,731,"blog: fix typos in ""Take Control Over Your Coding Interview""",MERGED,2026-01-25T09:07:36Z,2026-01-26T00:36:45Z,2026-01-26T00:36:45Z,15.4858,1,3,3,195,2,1,2
yangshun/tech-interview-handbook,720,contents: correct the link to self introduction in behavioral-interview.md,MERGED,2025-11-10T20:39:09Z,2025-11-11T00:13:11Z,2025-11-11T00:13:11Z,3.5672,1,1,1,0,2,0,1
yangshun/tech-interview-handbook,711,seo: fix image redirects issue,CLOSED,2025-07-09T03:58:31Z,2025-07-10T00:25:02Z,,20.4419,11,11,11,30,2,0,1
yangshun/tech-interview-handbook,685,contents/graph: use popleft() instead of pop() in Topological sort queue,MERGED,2025-01-30T03:32:21Z,2026-03-20T05:28:48Z,2026-03-20T05:28:48Z,9937.9408,1,1,1,0,3,0,1
yangshun/tech-interview-handbook,666,"[fix] update hyperlink for ""Open a pull request!"" on home page",MERGED,2024-10-06T09:43:34Z,2024-10-06T11:06:45Z,2024-10-06T11:06:45Z,1.3864,1,1,1,568,2,0,1
yangshun/tech-interview-handbook,659,[contents] add periods where necessary,MERGED,2024-09-21T03:20:58Z,2024-10-06T08:43:20Z,2024-10-06T08:43:20Z,365.3728,2,6,2,0,2,0,1
yangshun/tech-interview-handbook,651,contents: fix typo in resume.md,MERGED,2024-06-28T13:31:43Z,2024-06-28T22:26:29Z,2024-06-28T22:26:29Z,8.9128,1,1,1,20,2,0,1
yangshun/tech-interview-handbook,648,[resumes][fix] fix missing [add review]/[sign in to comment] buttons,MERGED,2024-06-24T21:56:36Z,2024-06-24T23:38:34Z,2024-06-24T23:38:34Z,1.6994,1,3,3,59,2,0,1
yangshun/tech-interview-handbook,641,Add system design in a hurry,MERGED,2024-04-28T18:24:32Z,2024-04-28T23:21:12Z,2024-04-28T23:21:12Z,4.9444,1,1,0,65,2,0,1
yangshun/tech-interview-handbook,639,contents: add linked list implementation in C++,MERGED,2024-04-05T15:18:06Z,2024-10-06T11:15:03Z,2024-10-06T11:15:03Z,4411.9492,1,1,1,57,2,1,1
yangshun/tech-interview-handbook,636,contents: add Codemia.io list of mock interview resource,MERGED,2024-03-02T02:30:18Z,2024-03-04T00:37:01Z,2024-03-04T00:37:01Z,46.1119,1,6,0,0,2,0,1
yangshun/tech-interview-handbook,632,[content] fix typo on Self Introduction page,MERGED,2024-01-31T12:17:47Z,2024-10-06T08:45:04Z,2024-10-06T08:45:04Z,5972.4547,1,2,2,254,2,0,1
yangshun/tech-interview-handbook,625,contents(beyond): add Hungry Minds and myself to LinkedIn resources,MERGED,2023-12-03T09:48:34Z,2023-12-04T02:17:33Z,2023-12-04T02:17:33Z,16.4831,1,2,0,103,2,0,1
yangshun/tech-interview-handbook,622,contents: Add Misc > Career Growth Page,MERGED,2023-11-26T15:46:59Z,2023-11-26T23:10:09Z,2023-11-26T23:10:09Z,7.3861,3,48,2,494,2,0,2
yangshun/tech-interview-handbook,610,[Content] Add Hello Interview to mock interviews,MERGED,2023-09-29T23:50:09Z,2023-09-30T02:35:50Z,2023-09-30T02:35:50Z,2.7614,1,9,0,373,2,1,1
yangshun/tech-interview-handbook,609,contents(queue): fix typo in queue content,MERGED,2023-09-28T15:44:36Z,2023-09-30T02:54:04Z,2023-09-30T02:54:04Z,35.1578,1,1,1,322,2,0,1
yangshun/tech-interview-handbook,605,contents: style of Palantir questions is aligned with style of other questions,MERGED,2023-09-12T13:45:13Z,2023-09-30T02:50:45Z,2023-09-30T02:50:45Z,421.0922,1,2,2,167,2,0,1
yangshun/tech-interview-handbook,604,contents: khan academy link for binary search fixed,MERGED,2023-09-05T18:32:59Z,2023-09-06T02:53:42Z,2023-09-06T02:53:42Z,8.3453,1,3,3,56,2,0,1
yangshun/tech-interview-handbook,599,contents: grammar / consistency fixes for algo sites,MERGED,2023-08-02T18:36:55Z,2023-08-03T00:25:53Z,2023-08-03T00:25:53Z,5.8161,7,22,22,0,2,0,1
yangshun/tech-interview-handbook,596,contents: 2 grammar fixes for linked list doc,MERGED,2023-07-18T18:37:55Z,2023-07-19T11:22:22Z,2023-07-19T11:22:22Z,16.7408,1,2,2,0,2,0,1
yangshun/tech-interview-handbook,594,contents(algo): fix typo in algorithm/graph content,MERGED,2023-07-04T06:08:28Z,2023-07-04T08:20:56Z,2023-07-04T08:20:56Z,2.2078,1,1,1,123,2,0,1
yangshun/tech-interview-handbook,588,contents(optimize): Bullet point formatting,MERGED,2023-05-25T17:10:25Z,2023-06-13T23:19:58Z,2023-06-13T23:19:58Z,462.1592,1,5,1,0,2,0,1
yangshun/tech-interview-handbook,587,contents(star): Bullet point formatting,MERGED,2023-05-25T15:36:50Z,2023-06-13T23:19:31Z,2023-06-13T23:19:31Z,463.7114,1,10,2,70,2,0,1
yangshun/tech-interview-handbook,586,contents(algo): fix url typo in sorting and searching,MERGED,2023-05-11T08:52:20Z,2023-05-11T10:21:53Z,2023-05-11T10:21:53Z,1.4925,1,1,1,0,2,0,1
yangshun/tech-interview-handbook,585,contents(algo): add Java implementation details for platform sorting algorithms,MERGED,2023-05-09T00:35:35Z,2023-05-11T10:21:02Z,2023-05-11T10:21:02Z,57.7575,1,1,1,97,2,0,1
yangshun/tech-interview-handbook,583,contents: misc update to coding-interview-rubrics.md,MERGED,2023-05-05T21:20:29Z,2023-05-05T23:47:24Z,2023-05-05T23:47:24Z,2.4486,1,1,1,29,2,0,1
yangshun/tech-interview-handbook,582,contents: fix typo in coding-interview-rubrics.md,MERGED,2023-05-05T21:18:13Z,2023-05-05T23:46:53Z,2023-05-05T23:46:53Z,2.4778,1,1,1,15,2,0,1
yangshun/tech-interview-handbook,579,contents(sd): fix typo in Design Gurus recommendation,MERGED,2023-04-11T16:09:40Z,2023-04-19T12:11:12Z,2023-04-19T12:11:12Z,188.0256,1,1,1,79,2,0,1
yangshun/tech-interview-handbook,578,contents(mock interview): add meetapro.com,MERGED,2023-04-06T05:35:11Z,2023-04-11T10:09:23Z,2023-04-11T10:09:23Z,124.57,1,13,0,0,2,0,1
yangshun/tech-interview-handbook,575,add: gaurav sen system design playlist,MERGED,2023-02-23T11:40:09Z,2023-04-11T10:06:48Z,2023-04-11T10:06:48Z,1126.4442,1,1,0,89,2,0,1
yangshun/tech-interview-handbook,574,contents: remove some stuttering when showcasing mock interview solutions,MERGED,2023-02-10T06:01:10Z,2023-04-11T10:05:51Z,2023-04-11T10:05:51Z,1444.0781,1,1,1,68,2,0,1
yangshun/tech-interview-handbook,572,contents(behavioral): add behavioral interview rubrics from Lior,MERGED,2023-02-05T10:28:31Z,2023-02-06T00:36:42Z,2023-02-06T00:36:42Z,14.1364,4,139,118,93,2,0,1
yangshun/tech-interview-handbook,570,misc: fixed typo in behavioral interview,MERGED,2023-02-02T23:05:27Z,2023-02-05T08:46:27Z,2023-02-05T08:46:27Z,57.6833,1,1,1,257,2,0,1
