repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
yt-dlp/yt-dlp,16602,[ie/soundcloud] Improve error handling,MERGED,2026-04-30T15:11:16Z,2026-04-30T22:23:21Z,2026-04-30T22:23:21Z,7.2014,1,10,3,1596,2,0,1
yt-dlp/yt-dlp,16583,Handle abrupt TLS connection close as EOF for live streams (FLV downloads),CLOSED,2026-04-26T22:16:56Z,2026-04-27T17:32:38Z,,19.2617,1,13,0,3358,3,0,2
yt-dlp/yt-dlp,16470,[ci] Bump pytest to 9.x,MERGED,2026-04-11T05:08:40Z,2026-05-03T20:13:58Z,2026-05-03T20:13:58Z,543.0883,3,19,15,2275,2,0,1
yt-dlp/yt-dlp,16466,[ie/twitch:clips] Fix extractor,MERGED,2026-04-10T22:06:01Z,2026-04-10T23:20:48Z,2026-04-10T23:20:48Z,1.2464,1,3,3,3410,3,1,2
yt-dlp/yt-dlp,16454,[devscripts] `update_requirements`: Add reporting functionality,MERGED,2026-04-09T06:53:30Z,2026-04-10T23:48:52Z,2026-04-10T23:48:52Z,40.9228,3,404,47,4256,2,1,4
yt-dlp/yt-dlp,16453,[ie/youtube] Fix PO token sanitization for Python>=3.14.4,MERGED,2026-04-09T01:31:32Z,2026-04-10T23:31:55Z,2026-04-10T23:31:55Z,46.0064,1,6,1,12036,3,1,4
yt-dlp/yt-dlp,16447,[ie] `_resolve_nuxt_array`: Handle Pinia `skipHydrate`,MERGED,2026-04-07T05:31:15Z,2026-04-07T15:34:47Z,2026-04-07T15:34:46Z,10.0586,1,1,0,2329,2,0,1
yt-dlp/yt-dlp,16446,[ci] Update wiki via this repository,MERGED,2026-04-07T01:37:46Z,2026-04-07T10:12:18Z,2026-04-07T10:12:17Z,8.5753,1,32,0,1261,2,0,1
yt-dlp/yt-dlp,16444,[build] Harden release workflow,MERGED,2026-04-07T00:58:19Z,2026-04-07T23:32:29Z,2026-04-07T23:32:29Z,22.5694,4,28,25,2347,2,0,1
yt-dlp/yt-dlp,16440,[rh:curl_cffi] Fix supported impersonate targets,MERGED,2026-04-05T21:22:43Z,2026-04-05T23:31:01Z,2026-04-05T23:31:01Z,2.1383,1,13,13,1311,2,0,1
yt-dlp/yt-dlp,16437,[ie/youtube] Fix outdated quickjs-ng warning,MERGED,2026-04-04T22:43:31Z,2026-04-05T17:03:48Z,2026-04-05T17:03:48Z,18.3381,1,12,4,1413,2,0,2
yt-dlp/yt-dlp,16436,[ie/soop] Adapt extractors to new domain,MERGED,2026-04-04T17:50:58Z,2026-04-19T21:27:29Z,2026-04-19T21:27:29Z,363.6086,1,78,74,2662,4,6,8
yt-dlp/yt-dlp,16435,[update] Bump GitHub REST API version to `2026-03-10`,MERGED,2026-04-04T17:25:58Z,2026-04-04T21:34:57Z,2026-04-04T21:34:57Z,4.1497,1,1,1,2092,2,0,1
yt-dlp/yt-dlp,16429,[rh:curl_cffi] Support `curl_cffi` 0.15.x,MERGED,2026-04-03T23:21:22Z,2026-04-04T02:29:28Z,2026-04-04T02:29:28Z,3.135,15,398,140,1555,2,0,1
yt-dlp/yt-dlp,16421,Add lockfile and pinned extras,MERGED,2026-04-02T22:41:45Z,2026-04-06T22:58:27Z,2026-04-06T22:58:27Z,96.2783,24,2429,1576,1808,2,0,1
