repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
zed-industries/zed,55818,git_graph: Keep shared parents on the leftmost incoming lane,MERGED,2026-05-05T20:08:16Z,2026-05-05T21:10:49Z,2026-05-05T21:10:49Z,1.0425,1,71,1,1039,2,0,1
zed-industries/zed,55816,editor: Fix panic in `text_layout_details` pre layout,MERGED,2026-05-05T19:54:25Z,2026-05-05T21:49:18Z,2026-05-05T21:49:18Z,1.9147,2,56,1,691,2,0,1
zed-industries/zed,55796,Add issue triage project sync workflow,MERGED,2026-05-05T16:46:31Z,2026-05-05T18:04:25Z,2026-05-05T18:04:25Z,1.2983,2,1001,0,678,2,0,1
zed-industries/zed,55788,git_graph: Add remote support,MERGED,2026-05-05T15:30:14Z,2026-05-05T21:47:12Z,2026-05-05T21:47:12Z,6.2828,4,337,59,902,2,0,1
zed-industries/zed,55787,Strengthen guidance for git commands in the terminal tool,MERGED,2026-05-05T15:18:25Z,2026-05-05T19:58:58Z,2026-05-05T19:58:58Z,4.6758,3,537,2,881,2,0,1
zed-industries/zed,55757,agent_servers: Include stderr in ACP startup exit errors,MERGED,2026-05-05T11:21:55Z,2026-05-05T12:42:41Z,2026-05-05T12:42:41Z,1.3461,3,188,40,886,2,1,1
zed-industries/zed,55752,agent: Remove `display_description` from edit tool,MERGED,2026-05-05T10:16:35Z,2026-05-05T12:14:17Z,2026-05-05T12:14:17Z,1.9617,3,51,263,239,2,0,1
zed-industries/zed,55747,editor: Extract Diagnostics code out of `editor.rs`,MERGED,2026-05-05T09:26:15Z,2026-05-05T15:59:52Z,2026-05-05T15:59:52Z,6.5603,6,553,536,924,3,1,4
zed-industries/zed,55720,Add an initial context menu to the git graph entrees,MERGED,2026-05-05T03:14:48Z,2026-05-05T14:26:58Z,2026-05-05T14:26:57Z,11.2025,1,208,22,2024,2,1,2
zed-industries/zed,55715,Improve grouping of worktrees by repo in recent projects,MERGED,2026-05-05T00:03:25Z,2026-05-05T08:23:51Z,2026-05-05T08:23:51Z,8.3406,13,801,345,433,2,1,1
zed-industries/zed,55695,docs: Add Standard ML to community language extensions list,MERGED,2026-05-04T18:50:53Z,2026-05-04T22:09:05Z,2026-05-04T22:09:05Z,3.3033,3,30,0,398,2,4,1
zed-industries/zed,55688,client: Pass x-zed-system-id header in get_authenticated_user(),MERGED,2026-05-04T18:07:48Z,2026-05-04T19:11:32Z,2026-05-04T19:11:32Z,1.0622,2,20,9,359,2,0,1
zed-industries/zed,55674,outline: Fix panic due to stale outline hover selection,MERGED,2026-05-04T16:14:58Z,2026-05-05T05:14:05Z,2026-05-05T05:14:05Z,12.9853,1,74,2,70,2,1,1
zed-industries/zed,55664,Handle hiding cursor on keyboard input at GPUI level,MERGED,2026-05-04T14:53:27Z,2026-05-04T22:55:42Z,2026-05-04T22:55:42Z,8.0375,34,716,450,1638,2,1,1
zed-industries/zed,55649,ci: Create releases with the Zed Zippy identity,MERGED,2026-05-04T12:57:02Z,2026-05-04T16:53:22Z,2026-05-04T16:53:22Z,3.9389,2,18,6,218,2,0,1
zed-industries/zed,55643,Fix micromamba powershell activation,MERGED,2026-05-04T12:20:50Z,2026-05-04T16:47:10Z,2026-05-04T16:47:10Z,4.4389,1,12,4,562,3,3,1
zed-industries/zed,55622,gpui: Preserve test return type in gpui::property_test macro,MERGED,2026-05-04T10:33:25Z,2026-05-04T11:46:34Z,2026-05-04T11:46:34Z,1.2192,1,7,4,279,2,0,1
zed-industries/zed,55614,Bump dependencies with warnings,MERGED,2026-05-04T09:43:39Z,2026-05-04T10:46:06Z,2026-05-04T10:46:06Z,1.0408,1,234,216,197,2,0,1
zed-industries/zed,55611,Update wasmtime to 36.0.8,MERGED,2026-05-04T09:10:05Z,2026-05-04T10:18:02Z,2026-05-04T10:18:02Z,1.1325,1,78,78,154,2,1,1
zed-industries/zed,55610,editor: Fix stale breakpoints when re-opening buffers for a saved file,MERGED,2026-05-04T09:07:40Z,2026-05-04T10:42:21Z,2026-05-04T10:42:21Z,1.5781,2,127,3,70,3,1,2
zed-industries/zed,55608,vim: Fix panic when pasting in read-only editor,MERGED,2026-05-04T08:47:09Z,2026-05-04T10:19:59Z,2026-05-04T10:19:59Z,1.5472,1,17,0,70,3,1,1
zed-industries/zed,55605,zed: Do not upload crashes that lack an associated release,MERGED,2026-05-04T08:24:08Z,2026-05-04T18:47:10Z,2026-05-04T18:47:10Z,10.3839,1,4,0,208,2,1,1
zed-industries/zed,55604,editor: Fix panic in `render_edit_prediction_cursor_popover`,MERGED,2026-05-04T08:16:17Z,2026-05-04T10:19:58Z,2026-05-04T10:19:58Z,2.0614,1,7,2,72,2,1,1
zed-industries/zed,55574,opencode: Support interleaved_reasoning and fix DeepSeek,MERGED,2026-05-03T18:49:38Z,2026-05-05T14:34:28Z,2026-05-05T14:34:28Z,43.7472,4,34,9,1620,5,5,1
zed-industries/zed,55568,collab: Stop mixing concerns in `get_channel_participant_details`,MERGED,2026-05-03T17:23:53Z,2026-05-04T11:56:24Z,2026-05-04T11:56:24Z,18.5419,5,100,62,422,2,0,1
zed-industries/zed,55565,git_panel: Fix commit message text behind `Open Commit Modal` button,MERGED,2026-05-03T16:17:19Z,2026-05-05T17:36:33Z,2026-05-05T17:36:33Z,49.3206,1,1,1,992,3,1,3
zed-industries/zed,55538,docs: Remove invalid `preferred_line_length` option value from `soft_wrap`,MERGED,2026-05-03T09:37:13Z,2026-05-03T14:31:42Z,2026-05-03T14:31:42Z,4.9081,1,1,2,550,2,3,1
zed-industries/zed,55531,project: Fix cmd task quoting with venv activation,MERGED,2026-05-03T07:12:31Z,2026-05-05T23:22:58Z,2026-05-05T23:22:58Z,64.1742,1,163,16,1615,4,0,1
zed-industries/zed,55526,settings_ui: Toggle root navbar entries on double-click,MERGED,2026-05-03T06:14:25Z,2026-05-05T02:51:28Z,2026-05-05T02:51:28Z,44.6175,1,128,6,1387,2,1,1
