rank,name_with_owner,owner,repo_name,stars,merged_prs,closed_prs,total_prs
1,codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,499263,155,188,343
2,sindresorhus/awesome,sindresorhus,awesome,462935,696,1674,2370
3,freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,444202,28259,16640,44899
4,public-apis/public-apis,public-apis,public-apis,432194,1895,1369,3264
5,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,387741,7362,4264,11626
6,openclaw/openclaw,openclaw,openclaw,368631,7121,31270,38391
7,nilbuild/developer-roadmap,nilbuild,developer-roadmap,354236,4177,1806,5983
8,donnemartin/system-design-primer,donnemartin,system-design-primer,347116,210,162,372
9,jwasham/coding-interview-university,jwasham,coding-interview-university,345767,415,597,1012
10,vinta/awesome-python,vinta,awesome-python,296093,689,1706,2395
11,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,290396,2395,648,3043
12,996icu/996.ICU,996icu,996.ICU,276138,1072,919,1991
13,practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,264936,182,201,383
14,facebook/react,facebook,react,244817,12834,6173,19007
15,TheAlgorithms/Python,TheAlgorithms,Python,220789,3075,8312,11387
16,trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,218865,122,120,242
17,vuejs/vue,vuejs,vue,209764,1136,1233,2369
18,ossu/computer-science,ossu,computer-science,203562,313,200,513
19,trekhleb/javascript-algorithms,trekhleb,javascript-algorithms,195928,303,271,574
20,tensorflow/tensorflow,tensorflow,tensorflow,195004,44861,24073,68934
21,n8n-io/n8n,n8n-io,n8n,186793,15685,3942,19627
22,ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,186716,3563,4089,7652
23,microsoft/vscode,microsoft,vscode,184587,46644,7990,54634
24,getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,184427,370,527,897
25,CyC2018/CS-Notes,CyC2018,CS-Notes,184314,374,188,562
26,Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,184010,4351,3421,7772
27,jackfrued/Python-100-Days,jackfrued,Python-100-Days,182142,13,203,216
28,obra/superpowers,obra,superpowers,179303,74,488,562
29,flutter/flutter,flutter,flutter,176178,47938,22940,70878
30,twbs/bootstrap,twbs,bootstrap,174219,9258,6777,16035
