metric,quartil,n,merge_rate,median_reviews_count,median_analysis_time_hours,metric_min,metric_max
body_length,Q1,1683,0.767677,1.0,33.0881,0.0,207.0
body_length,Q2,1680,0.758333,1.0,26.438049999999997,208.0,848.0
body_length,Q3,1678,0.752086,2.0,26.06615,849.0,1890.0
body_length,Q4,1680,0.794643,2.0,27.69945,1892.0,66564.0
files_changed,Q1,2817,0.690806,1.0,46.9533,0.0,1.0
files_changed,Q2,1177,0.839422,1.0,22.7081,2.0,2.0
files_changed,Q3,1266,0.829384,2.0,21.2603,3.0,5.0
files_changed,Q4,1461,0.806982,2.0,25.9172,6.0,9624.0
lines_added,Q1,1820,0.722527,1.0,42.1678,0.0,3.0
lines_added,Q2,1557,0.798972,1.0,25.0225,4.0,20.0
lines_added,Q3,1669,0.804074,2.0,24.5506,21.0,119.0
lines_added,Q4,1675,0.753433,2.0,25.7275,120.0,2325615.0
lines_removed,Q1,2442,0.675266,1.0,45.4636,0.0,1.0
lines_removed,Q2,1116,0.81362,1.0,26.02485,2.0,4.0
lines_removed,Q3,1511,0.841827,2.0,24.0672,5.0,23.0
lines_removed,Q4,1652,0.807506,2.0,22.840249999999997,24.0,630434.0
